delta1,delta2,delta3,delta4
00001,-0001,00001,00001
00003,00001,00001,00003
00002,00000,00001,00000
00000,00001,00001,00001
00003,00001,00002,00003
00002,00003,00002,00002
00001,00002,00002,00003
00004,00003,00004,00003
00003,00003,00003,00006
00004,00006,00006,00004
00005,00006,00005,00005
00008,00010,00006,00006
00010,00013,00011,00010
00012,00019,00014,00013
00017,00026,00017,00016
00017,00026,00017,00016
00017,00028,00017,00016
00017,00027,00017,00016
00017,00030,00017,00016
00017,00028,00017,00016
00033,00024,00029,00027
00038,00024,00030,00033
00040,00024,00031,00036
00027,00024,00025,00040
00033,00024,00020,00042
00028,00024,00020,00043
00028,00024,00014,00043
00012,00003,00005,00019
00008,00000,00005,00019
00004,-0002,00005,00019
00002,-0001,00005,00019
00002,-0003,00005,00019
00000,00000,00005,00019
00002,-0001,00001,00007
00002,-0001,00001,00003
00002,-0001,00001,00003
00002,-0001,00001,00006
00002,-0001,00001,00001
00002,-0001,00001,00002
00001,-0001,00002,00000
-0003,-0002,00002,00002
00000,-0004,00001,00003
00001,-0001,00001,00002
00001,-0003,00000,00000
00000,-0004,00001,00001
-0002,-0003,00000,00002
-0003,-0005,00000,00001
00001,-0001,00000,00000
00001,00002,00001,00000
00000,-0002,00001,00001
-0002,-0003,00002,00001
-0001,-0002,-0002,00001
-0001,-0001,00001,00001
00002,00001,00000,00002
00001,-0002,00001,00000
