delta1,delta2,delta3,delta4
00000,-0004,00001,00002
00004,-0002,00000,00001
00000,-0002,00001,00002
00002,-0002,00001,-0001
00003,-0002,00000,00001
00001,-0004,00001,00001
00000,-0004,00002,00002
00001,-0003,00002,00002
00003,-0003,00001,00001
00003,-0004,00003,00002
00003,-0003,00001,00000
00000,-0003,00001,00004
00001,-0003,00003,00001
00008,00011,00005,00004
00036,00015,00015,00030
00027,00015,00015,00042
00017,00015,00015,00037
00017,00015,00015,00023
00017,00015,00015,00011
00006,-0001,00002,00004
00003,-0001,00003,00003
00001,-0003,00003,00002
00002,-0002,00001,00001
00002,-0003,00002,00001
00003,-0003,00000,00002
-0001,-0002,00000,00001
00003,-0003,00001,00002
00004,-0002,00001,00002
00002,-0001,00001,00000
00001,-0002,00001,00002
00001,-0001,-0001,00001
00001,-0001,00000,-0002
00001,-0002,00001,00001
00001,-0001,00001,00001
00000,-0004,00001,00000
00001,-0002,00001,00001
00000,-0002,00001,00003
00001,-0001,00000,00000
-0002,-0002,00002,00002
00002,-0002,00000,-0001
00002,-0003,00001,00001
00001,-0001,-0001,-0002
00000,-0004,00001,00001
-0001,-0002,00001,00001
00000,-0003,00000,00001
00001,-0002,00000,-0002
00002,-0002,00000,00000
-0001,-0002,-0001,00000
00001,-0002,00000,00000
-0001,-0002,00001,00001
00000,-0001,00001,-0001
00000,-0004,00002,-0001
00001,-0001,00000,00000
00002,-0001,00001,00000
00001,-0004,-0001,-0001
