delta1,delta2,delta3,delta4
-0001,00003,00000,00001
00001,00000,00000,00001
00000,00000,00000,00001
-0002,00000,00001,00001
-0001,00000,00001,00001
00000,-0002,00003,00000
-0001,00001,00000,00003
00002,00003,00000,00003
-0002,00001,00001,00001
00000,00000,00000,00002
00000,00003,-0001,00003
00002,00001,00002,00003
00005,00005,00002,00003
00013,00005,00002,00006
00031,00016,00006,00015
00036,00016,00006,00015
00037,00016,00006,00015
00042,00016,00006,00015
00046,00016,00006,00015
00041,00016,00006,00015
00038,00031,00040,00053
00038,00030,00043,00056
00038,00034,00045,00058
00038,00034,00042,00059
00038,00030,00039,00062
00038,00034,00039,00062
00041,00036,00038,00062
00057,00036,00033,00075
00066,00041,00034,00086
00047,00041,00037,00071
00028,00028,00037,00049
00015,00018,00026,00033
00013,00018,00026,00033
00015,00018,00026,00033
00012,00018,00026,00033
00011,00018,00026,00033
00010,00018,00026,00033
00010,00007,00010,00016
00010,00009,00011,00016
00010,00008,00009,00016
00010,00007,00007,00016
00010,00006,00007,00016
00010,00001,00007,00016
00004,00006,00007,00009
00004,00006,00007,00008
00004,00006,00007,00009
00004,00006,00007,00008
00004,00006,00007,00010
00004,00006,00007,00006
00001,00002,00004,00006
00002,00003,00002,00004
00001,00003,00002,00005
-0001,00001,00001,00004
00000,00000,00001,00003
00001,00003,00000,00001
