delta1,delta2,delta3,delta4
00000,00002,00000,00002
00001,00001,00001,00001
00004,00002,00000,00001
00001,00001,00000,00001
00001,00000,00001,00001
00001,00000,00001,00002
00002,00002,00001,00001
00002,00001,00001,00001
00002,00002,00000,00000
00002,00003,00000,00000
-0001,00001,00001,00003
00004,00001,00001,00000
00003,00002,00001,00001
00003,00005,00001,-0018
00001,00027,-0021,00002
00001,00048,-0034,00002
00001,00058,-0041,00002
00001,00057,-0035,00002
00001,00056,-0029,00002
00001,00050,-0023,00002
00001,00050,-0014,00002
-0024,00054,-0008,00004
-0023,00054,-0008,00004
-0019,00054,-0008,00004
-0020,00017,00007,00005
-0017,00017,00007,00005
-0007,00040,00005,00003
-0020,00025,00013,00004
-0019,00025,00013,00004
-0019,00019,00016,00001
-0019,00015,00024,00006
-0019,00014,00026,00006
-0019,00018,00023,00006
-0019,00018,00026,00006
-0019,00018,00031,00006
-0019,00018,00032,00006
-0001,00014,00036,-0009
-0001,00012,00036,-0009
-0001,00014,00036,-0009
-0001,00012,00036,-0009
-0001,00012,00036,-0009
-0001,00013,00036,-0009
00017,00017,00037,-0005
00022,00017,00030,-0008
00024,00017,00030,-0008
00024,00017,00030,-0008
00027,00017,00030,-0008
00025,00017,00030,-0008
00028,00017,00030,-0008
00024,00018,00027,-0008
00026,00019,00027,-0007
00026,00018,00028,-0007
00025,00018,00029,-0007
00026,00020,00027,-0006
00026,00018,00027,-0006
