time,delta0,delta1,delta2,delta3,delta4
472,11,12,12,12,12
473,11,12,12,12,12
474,13,9,12,12,14
475,7,4,13,13,9
476,7,4,13,13,9
477,7,4,13,13,9
478,11,12,14,12,11
479,11,12,14,12,11
480,11,6,14,12,11
481,9,6,18,13,11
482,9,6,18,13,11
483,9,6,18,13,11
484,13,9,14,8,11
485,13,9,14,8,11
486,13,9,14,8,11
487,15,12,14,13,13
488,15,12,14,13,13
489,15,7,14,13,15
490,16,7,15,13,15
491,16,7,15,13,15
492,15,9,15,14,18
493,13,9,16,16,13
494,13,9,16,16,13
495,13,9,16,16,13
496,16,8,27,26,21
497,16,8,27,26,21
498,16,8,27,27,21
499,21,15,28,32,37
500,21,15,28,32,37
501,25,17,28,32,41
502,24,14,30,45,48
503,24,14,30,45,48
504,24,14,30,45,52
505,27,18,32,51,64
506,27,18,32,51,65
507,29,19,35,58,67
508,27,17,33,61,80
509,27,17,33,61,81
510,27,17,33,61,82
511,31,20,38,72,104
512,36,20,38,72,107
513,36,20,40,72,110
514,36,20,38,81,121
515,36,20,38,81,121
516,33,20,38,81,128
517,33,23,38,92,136
518,33,23,38,94,136
519,34,22,40,96,136
520,31,21,42,111,131
521,31,21,42,113,131
522,31,21,39,114,121
523,32,19,39,129,119
524,32,19,39,140,119
525,32,19,48,145,110
526,32,21,48,157,106
527,32,21,48,160,99
528,32,22,50,165,84
529,34,19,52,173,83
530,34,19,54,173,82
531,34,19,54,172,67
532,34,24,67,172,67
533,34,24,67,172,67
534,34,24,70,173,63
535,34,24,77,171,63
536,41,28,77,171,63
537,41,28,82,167,60
538,41,28,89,167,60
539,41,28,94,167,60
540,33,23,98,160,60
541,33,23,122,157,58
542,33,23,138,155,58
543,34,27,147,142,57
544,30,27,171,141,57
545,30,27,173,126,57
546,30,29,173,104,62
547,39,34,173,99,63
548,39,35,171,96,63
549,39,37,154,87,65
550,39,40,142,87,68
551,41,43,125,87,68
552,41,46,107,80,68
553,42,60,91,77,68
554,42,62,75,77,68
555,38,68,59,58,56
556,38,68,53,57,49
557,38,68,45,56,49
558,38,68,45,50,49
559,38,68,43,47,43
560,32,44,40,47,43
561,21,22,26,29,25
562,19,21,26,29,23
563,15,16,23,29,20
564,15,11,22,14,12
565,6,7,20,14,12
566,6,7,18,14,12
567,6,7,15,13,15
568,4,5,11,13,12
569,4,5,11,13,12
570,4,5,11,8,4
