delta0,delta1,delta2,delta3
13,19,29,24
13,19,29,24
13,19,27,26
11,18,27,27
11,18,27,27
11,18,30,27
19,18,32,24
19,18,32,24
20,18,32,24
11,18,29,28
11,18,29,28
11,18,29,28
22,20,32,28
22,20,32,28
22,23,32,28
21,24,32,30
21,24,32,30
21,24,32,33
22,21,34,33
22,21,34,33
22,21,34,37
23,27,37,39
23,27,37,39
23,30,37,39
28,30,45,47
28,30,45,47
28,36,46,49
23,36,50,55
24,36,55,55
24,37,61,57
32,38,81,79
32,38,96,87
32,38,119,89
41,45,139,125
41,45,139,130
41,45,135,133
41,45,130,154
30,41,113,154
30,37,77,147
25,33,73,140
25,33,60,138
25,33,59,124
25,33,54,118
25,33,54,116
25,33,54,105
25,33,49,96
25,33,49,96
25,33,49,86
25,33,48,82
25,33,48,82
25,30,46,53
37,30,32,49
37,30,32,49
37,30,32,42
37,30,32,36
21,21,32,36
21,21,32,32
19,21,29,30
19,21,29,30
19,19,28,26
19,18,24,26
19,18,24,26
19,18,24,27
16,16,25,30
