delta0,delta1,delta2,delta3,delta4
12,13,21,17,16
14,12,19,17,19
14,12,19,17,19
14,12,19,17,19
14,12,25,15,14
14,12,25,15,14
14,12,25,15,14
13,21,20,20,23
13,21,20,20,23
13,21,20,20,23
16,9,23,18,15
16,9,23,18,15
16,9,23,18,15
16,13,23,24,20
16,13,23,24,20
16,13,23,24,20
15,15,30,23,22
15,15,30,23,22
15,15,30,23,22
18,19,31,29,25
18,19,31,29,25
18,19,31,29,25
18,25,34,30,29
18,25,34,30,29
18,25,34,30,29
21,24,43,38,32
21,24,43,38,32
21,24,43,38,32
25,29,53,46,40
25,29,53,46,40
25,29,53,46,40
29,40,67,64,51
29,40,67,64,51
29,40,67,64,51
33,33,107,92,55
33,33,107,92,55
33,33,107,100,55
33,33,100,134,59
33,33,100,134,59
33,33,91,141,59
33,33,79,150,69
33,33,79,150,69
33,33,66,144,69
27,24,49,123,80
27,24,49,116,80
27,24,48,85,80
23,24,41,63,79
23,24,41,60,79
23,24,41,60,79
23,24,34,40,51
23,24,34,40,51
23,24,34,40,45
18,14,30,23,30
18,14,30,23,30
18,14,30,23,30
13,8,23,16,14
13,8,23,16,14
13,8,23,16,14
9,13,22,17,15
9,13,22,17,15
9,13,22,17,15
11,8,19,16,9
11,8,19,16,9
