time,delta0,delta1,delta2,delta3,delta4
0,0031,0033,0056,0085,0079,
1,0033,0037,0063,0102,0083,
2,0057,0063,0085,0129,0120,
3,0057,0063,0099,0138,0120,
4,0057,0063,0099,0138,0129,
5,0057,0063,0099,0138,0124,
6,0057,0063,0096,0132,0124,
7,0048,0024,0057,0087,0072,
8,0027,0022,0041,0045,0051,
9,0025,0021,0038,0041,0044,
10,0025,0021,0023,0026,0024,
11,0025,0021,0023,0026,0024,
12,0025,0021,0023,0026,0024,
13,0011,0008,0018,0017,0013,
14,0011,0008,0018,0014,0013,
15,0011,0006,0018,0007,0008,
16,0007,0005,0012,0005,0008,
17,0007,0005,0012,0005,0008,
18,0007,0005,0010,0005,0008,
19,0009,0008,0007,0003,0006,
20,0009,0008,0007,0003,0006,
21,0009,0008,0007,0003,0006,
22,0000,0006,0004,0004,0006,
23,0000,0006,0004,0004,0006,
24,0000,0006,0003,0004,0006,
25,0003,0005,0005,-001,0005,
26,0003,0005,0005,-001,0005,
27,0003,0005,0005,-001,0005,
28,0004,0007,0000,0002,0005,
29,0004,0007,0000,0002,0005,
