time,delta0,delta1,delta2,delta3,delta4
669,18,19,33,23,27
670,18,19,33,23,27
671,18,19,32,23,27
672,22,25,32,29,28
673,22,25,32,29,28
674,24,23,33,29,28
675,21,23,33,29,30
676,21,23,33,29,30
677,21,26,33,29,30
678,22,21,33,30,32
679,22,21,33,30,32
680,22,21,37,32,32
681,22,26,37,35,36
682,22,26,37,35,36
683,22,26,38,36,36
684,26,29,43,38,40
685,26,29,43,38,40
686,26,32,43,42,40
687,30,41,49,54,48
688,30,41,49,54,48
689,30,41,52,56,48
690,36,43,65,64,54
691,36,43,68,64,54
692,36,47,71,64,54
693,38,46,100,85,67
694,38,46,125,92,67
695,38,46,137,96,69
696,38,46,166,114,71
697,38,46,180,128,71
698,38,46,180,129,71
699,35,42,172,181,75
700,35,42,131,181,75
701,35,42,84,167,75
702,38,35,77,164,88
703,38,35,63,146,88
704,27,17,52,127,92
705,27,17,48,121,108
706,27,17,48,113,108
707,27,17,46,99,110
708,27,17,46,91,117
709,27,17,46,87,117
710,27,17,48,82,110
711,27,17,48,74,102
712,27,18,48,74,91
713,30,24,36,46,53
714,30,24,36,44,48
715,30,24,36,44,48
716,30,24,37,37,40
717,30,24,33,33,40
718,24,24,33,33,40
719,24,21,33,31,32
720,23,21,29,30,32
721,23,21,29,30,32
