time,delta0,delta1,delta2,delta3,delta4
0,0025,0025,0051,0079,0073,
1,0030,0028,0062,0100,0083,
2,0071,0072,0105,0158,0139,
3,0071,0072,0110,0158,0139,
4,0071,0072,0110,0152,0143,
5,0071,0072,0108,0150,0132,
6,0071,0064,0093,0136,0126,
7,0036,0023,0048,0073,0054,
8,0025,0023,0046,0059,0054,
9,0025,0023,0046,0058,0054,
10,0025,0023,0035,0038,0033,
11,0025,0023,0031,0038,0033,
12,0023,0016,0031,0038,0033,
13,0007,0007,0019,0014,0009,
14,0007,0007,0019,0011,0009,
15,0007,0007,0019,0011,0009,
16,0004,0001,0010,0005,0004,
17,0004,0001,0010,0005,0004,
18,0004,0001,0010,0005,0004,
19,0006,0002,0003,0005,0006,
20,0006,0002,0003,0005,0006,
21,0006,0002,0003,0005,0006,
22,0002,0001,0005,0004,0005,
23,0002,0001,0005,0004,0005,
24,0002,0001,0005,0004,0005,
25,-002,0002,0000,0002,0002,
26,-002,0002,0000,0002,0002,
27,-002,0002,0000,0002,0002,
28,0003,0001,0001,0003,0004,
29,0003,0001,0001,0003,0004,
