delta1,delta2,delta3,delta4
00007,00005,00003,00006
00007,00007,00005,00010
00015,00010,00008,00015
00019,00014,00012,00017
00021,00017,00014,00023
00001,00003,00001,00002
00001,00000,-0001,00003
-0001,00001,00000,00003
00000,00002,00000,00002
00002,00001,00003,00003
00011,00004,00003,00006
00010,00008,00003,00009
00013,00011,00008,00013
00018,00013,00012,00016
00020,00017,00011,00023
00023,00017,00011,00023
00020,00017,00011,00019
00022,00021,00019,00026
00015,00017,00019,00024
00015,00017,00019,00024
00015,00017,00019,00022
00015,00017,00019,00020
00007,00008,00013,00019
00005,00006,00006,00015
00003,00006,00004,00011
00004,00003,00005,00008
00001,00003,00004,00007
00001,00001,00001,00004
00002,00002,00001,00005
00001,00002,00001,00004
00000,00000,00000,00003
00001,00001,00001,00003
-0003,00001,00000,00002
-0001,00001,-0002,00001
-0002,00001,00000,-0001
-0001,00000,-0001,00004
-0002,00001,00001,00002
-0001,-0002,00000,00001
-0002,00001,00000,00002
-0001,00000,-0001,00003
00001,00001,-0001,00003
-0001,00001,-0001,00002
00000,00003,00000,00001
-0001,-0002,-0001,00002
-0002,00001,00001,00002
-0001,00002,-0001,00003
-0001,00000,-0002,00001
-0003,-0001,00001,00002
-0001,00000,00000,00002
-0003,00001,00000,00003
00000,00001,00000,00002
-0002,00002,00001,00001
-0001,00001,-0001,00001
-0002,-0001,-0001,00002
-0003,-0001,-0001,00003
