delta1,delta2,delta3,delta4
00001,00000,-0001,00001
00002,00002,-0001,00001
00002,00001,00000,00003
00003,00001,00002,00004
00003,00004,00001,00003
00004,00005,00002,00004
00005,00006,00004,00005
00008,00007,00005,00007
00006,00010,00007,00009
00012,00013,00008,00012
00013,00013,00011,00018
00016,00015,00013,00021
00016,00015,00013,00019
00019,00019,00015,00022
00019,00019,00015,00024
00019,00019,00015,00022
00019,00019,00015,00024
00019,00019,00015,00026
00019,00019,00015,00025
00019,00015,00015,00024
00018,00011,00012,00025
00013,00007,00007,00024
00009,00006,00005,00019
00005,00002,00003,00014
00005,00002,00003,00011
00005,00002,00003,00010
00005,00002,00003,00010
00005,00002,00003,00007
00005,00002,00003,00007
00005,00002,00002,00007
00003,00003,00002,00005
00004,-0001,00000,00006
-0001,00001,00000,00004
00002,00001,-0001,00004
00003,00001,00001,00002
00002,00001,00002,00001
00002,00001,-0001,00003
00002,-0001,00000,00002
00002,00000,00001,00003
00001,00001,-0001,00003
-0001,00000,00000,00001
00001,00001,00000,00002
-0001,00002,00000,00000
00002,00001,00000,00003
-0008,-0006,00003,00005
00001,-0001,00001,00003
00001,00000,00000,00000
00000,-0002,00001,00002
00001,-0001,00000,00002
00001,00000,00002,00001
00000,00001,00002,00003
00000,-0002,00000,00001
00000,-0002,00000,00003
00002,00000,00000,00003
00001,00000,-0001,00002
