time,delta0,delta1,delta2,delta3,delta4
0,0010,0015,0019,0029,0024,
1,0013,0015,0030,0035,0024,
2,0019,0024,0037,0053,0048,
3,0034,0029,0053,0081,0068,
4,0057,0045,0081,0115,0082,
5,0057,0045,0082,0119,0105,
6,0057,0045,0094,0138,0116,
7,0057,0045,0094,0138,0116,
8,0057,0045,0087,0127,0103,
9,0054,0045,0083,0127,0095,
10,0045,0044,0078,0113,0089,
11,0015,0017,0037,0066,0041,
12,0015,0017,0037,0056,0041,
13,0015,0017,0037,0055,0041,
14,0015,0017,0024,0030,0024,
15,0015,0017,0024,0029,0022,
16,0014,0013,0024,0029,0022,
17,0001,-003,0021,0006,0001,
18,0001,-003,0019,0006,0001,
19,0001,-003,0019,0006,0001,
20,0000,0001,0006,0003,-001,
21,0000,0001,0006,0003,-001,
22,0000,0001,0006,0003,-001,
23,0003,0001,0007,0003,0004,
24,0003,0001,0007,0003,0004,
25,0003,0001,0007,0003,0004,
26,0000,0000,-001,0002,-001,
27,0000,0000,-001,0002,-001,
28,0000,0000,-001,0002,-001,
29,-002,0002,0001,0007,0000,
