time,delta0,delta1,delta2,delta3,delta4
0,0012,0010,0023,0030,0024,
1,0016,0014,0029,0038,0038,
2,0037,0030,0049,0073,0066,
3,0059,0039,0074,0111,0099,
4,0063,0054,0088,0121,0103,
5,0063,0054,0100,0146,0128,
6,0063,0054,0100,0146,0128,
7,0063,0054,0092,0132,0116,
8,0063,0054,0086,0125,0107,
9,0046,0041,0075,0107,0094,
10,0015,0012,0041,0053,0034,
11,0015,0011,0032,0041,0034,
12,0015,0011,0031,0032,0030,
13,0015,0011,0022,0019,0010,
14,0015,0011,0022,0012,0010,
15,0007,0002,0022,0012,0010,
16,0000,0000,0010,0005,0000,
17,0000,-005,-005,-006,-002,
18,0000,-005,-005,-006,-002,
19,0000,-005,-005,-006,-002,
20,-002,0002,-004,-006,-003,
21,-002,0002,-004,-006,-003,
22,-002,0002,-004,-006,-003,
23,-004,-002,-008,-005,-005,
24,-004,-002,-008,-005,-005,
25,-004,-002,-008,-005,-005,
26,-002,-003,-004,-007,-008,
27,-002,-003,-004,-007,-008,
28,-002,-003,-004,-007,-008,
29,-003,-001,-009,-008,-004,
