time,delta0,delta1,delta2,delta3,delta4
0,0048,0047,0070,0107,0101,
1,0053,0047,0080,0121,0103,
2,0053,0047,0103,0150,0126,
3,0053,0047,0103,0150,0126,
4,0053,0047,0081,0123,0103,
5,0053,0036,0078,0122,0103,
6,0045,0025,0057,0086,0080,
7,0022,0010,0029,0038,0037,
8,0022,0010,0029,0038,0037,
9,0022,0010,0029,0038,0037,
10,0022,0010,0020,0025,0023,
11,0022,0010,0020,0025,0023,
12,0016,0009,0020,0025,0023,
13,0010,-003,0013,0006,0004,
14,0010,-003,0013,0006,0004,
15,0010,-003,0013,0006,0004,
16,0007,0005,0009,0004,0001,
17,0007,0005,0009,0004,0001,
18,0007,0005,0009,0004,0001,
19,0001,-002,0003,0001,0001,
20,0001,-002,0003,0001,0001,
21,0001,-002,0003,0001,0001,
22,0000,0002,0002,0000,-003,
23,0000,0002,0002,0000,-003,
24,0000,0002,0002,0000,-003,
25,0006,0003,0007,0000,0001,
26,0006,0003,0007,0000,0001,
27,0006,0003,0007,0000,0001,
28,0003,0002,0009,-001,0000,
29,0003,0002,0009,-001,0000,
