time,delta0,delta1,delta2,delta3,delta4
0,0033,0031,0056,0077,0071,
1,0037,0039,0058,0083,0076,
2,0047,0039,0059,0083,0077,
3,0047,0039,0059,0083,0077,
4,0022,0023,0033,0050,0043,
5,0021,0023,0030,0039,0042,
6,0018,0021,0030,0037,0041,
7,0011,0011,0017,0020,0019,
8,0011,0011,0017,0020,0019,
9,0011,0011,0017,0020,0019,
10,0009,0009,0009,0010,0014,
11,0009,0009,0009,0010,0014,
12,0009,0009,0009,0010,0014,
13,0004,0008,0005,0004,0010,
14,0004,0008,0005,0004,0010,
15,0004,0008,0003,0004,0010,
16,0000,0005,0002,0002,0006,
17,0000,0005,0002,0002,0006,
18,0000,0005,0002,0002,0006,
19,0001,0004,0003,0004,0007,
20,0001,0004,0003,0004,0007,
21,0001,0004,0003,0004,0007,
22,0004,0008,0005,0005,0009,
23,0004,0008,0005,0005,0009,
24,0004,0008,0005,0005,0009,
25,0002,0005,0001,0002,0007,
26,0002,0005,0001,0002,0007,
27,0002,0005,0001,0002,0007,
28,0004,0004,0003,0002,0001,
29,0004,0004,0003,0002,0001,
