time,delta0,delta1,delta2,delta3,delta4
0,0149,0003,0002,0002,0002,
1,0180,0004,0002,0002,0002,
2,0241,0004,0002,0002,0002,
3,0285,0004,0003,0002,0002,
4,0327,0005,0003,0003,0002,
5,0354,0005,0003,0003,0002,
6,0354,0005,0002,0003,0002,
7,0345,0003,0002,0002,0002,
8,0040,0003,0002,0002,0002,
9,0007,0003,0002,0002,0002,
10,0007,0012,0002,0002,0002,
11,0007,0012,0002,0002,0002,
12,0009,0012,0002,0002,0002,
13,0008,0012,0002,0002,0002,
14,0008,0185,0003,0002,0002,
15,0003,0188,0003,0002,0002,
16,0003,0185,0003,0002,0002,
17,0003,0183,0003,0002,0002,
18,0003,0174,0003,0002,0002,
19,0008,0160,0004,0003,0003,
20,0008,0144,0004,0003,0003,
21,0008,0123,0004,0003,0003,
22,0009,0071,0003,0003,0003,
23,0132,0011,0003,0003,0003,
24,0315,0007,0002,0002,0002,
25,0320,0004,0002,0002,0002,
26,0321,0004,0002,0002,0002,
27,0321,0004,0002,0002,0002,
28,0305,0003,0002,0002,0002,
29,0053,0003,0002,0002,0002,
30,0009,0002,0001,0001,0001,
31,0008,0002,0001,0001,0001,
32,0006,0002,0001,0001,0001,
33,0005,0002,0001,0001,0001,
34,0005,0002,0001,0001,0001,
35,0005,0001,0001,0001,0001,
36,0005,0001,0001,0001,0001,
37,0006,0006,0001,0002,0001,
38,0006,0342,0004,0002,0002,
39,0004,0367,0004,0002,0002,
40,0004,0367,0004,0002,0002,
41,0004,0355,0004,0002,0002,
42,0004,0345,0004,0002,0002,
43,0006,0317,0004,0003,0003,
44,0006,0254,0004,0003,0003,
45,0006,0053,0002,0002,0002,
46,0006,0005,0002,0002,0002,
47,0371,0005,0002,0003,0003,
48,0371,0004,0002,0003,0003,
49,0256,0004,0002,0003,0003,
