time,delta0,delta1,delta2,delta3,delta4
0,0003,0001,0001,0007,0050,
1,0003,0001,0001,0007,0058,
2,0003,0001,0001,0010,0070,
3,0003,0001,0001,0012,0083,
4,0003,0001,0001,0015,0097,
5,0003,0000,0001,0031,0097,
6,0003,0000,0001,0055,0094,
7,0003,0000,0002,0098,0063,
8,0004,0001,0005,0139,0030,
9,0004,0001,0017,0139,0009,
10,0000,-002,0058,0128,0002,
11,0000,-002,0088,0104,0002,
12,0000,-002,0116,0078,0002,
13,0000,-002,0141,0054,0002,
14,0005,0007,0141,0027,0002,
15,0005,0007,0136,0017,0003,
16,0005,0007,0108,0011,0004,
17,0005,0007,0079,0010,0005,
18,0017,0042,0038,0009,0006,
19,0021,0185,0011,0007,0006,
20,0021,0271,0011,0007,0006,
21,0035,0310,0008,0006,0005,
22,0040,0310,0007,0005,0004,
23,0040,0310,0006,0005,0004,
24,0033,0061,0004,0002,0002,
25,0009,0008,0002,0001,0001,
26,0006,0006,0002,0001,0001,
27,0004,0002,0002,0001,0001,
28,0003,0002,0002,0001,0001,
29,0003,0001,0002,0001,0001,
30,0003,0001,0001,0001,0001,
31,0003,0001,0001,0001,0001,
32,0001,0001,0000,0000,0000,
33,0001,0001,0000,0000,0000,
34,0001,0001,0000,0000,0000,
35,0002,0000,0000,0000,0001,
36,0002,0000,0000,0000,0001,
37,0001,0000,0001,0000,0001,
38,0001,0001,0000,0001,0000,
39,0001,0001,0000,0001,0000,
40,0001,0001,0000,0000,0000,
41,0001,0001,0000,0000,0000,
42,0001,0001,0000,0000,0000,
43,0001,0000,0000,0000,0000,
44,0001,0000,0000,0000,0000,
45,0001,0000,0000,0000,0000,
46,0000,0000,0000,0000,0000,
47,0000,0001,0000,0000,0000,
48,0000,0001,0000,0000,0000,
49,0000,0001,0000,0000,0000,
