time,delta0,delta1,delta2,delta3,delta4
0,0005,0006,0052,0005,0002,
1,0005,0006,0054,0005,0001,
2,0005,0006,0056,0005,0001,
3,0004,0006,0064,0005,0001,
4,0003,0006,0079,0008,0001,
5,0003,0006,0091,0009,0001,
6,0002,0004,0097,0014,0001,
7,0001,0001,0097,0033,0001,
8,0001,0001,0066,0067,0001,
9,0001,0001,0022,0109,0002,
10,-001,0000,0004,0109,0012,
11,-001,0000,0000,0082,0040,
12,-001,0000,0000,0069,0053,
13,-001,0000,0000,0055,0072,
14,-001,0000,0000,0040,0089,
15,-001,0000,0000,0027,0103,
16,-001,0000,0000,0017,0103,
17,-001,0000,0000,0008,0103,
18,-001,-001,-001,0004,0076,
19,0000,-001,-001,0002,0011,
20,0000,-001,-001,0000,0002,
21,0000,-001,-001,0000,0000,
22,0000,-001,-001,0000,0000,
23,0000,-001,-001,0000,0000,
24,0000,-001,0000,0000,0000,
25,0000,0001,0000,0000,0000,
26,0000,0001,0000,0000,0000,
27,-001,0000,0000,0000,0000,
28,-001,0000,-001,-001,0000,
29,-001,0000,-001,-001,0000,
30,0000,0000,-001,-001,0000,
31,-001,0001,-001,0000,0000,
32,-001,0001,-001,0000,0000,
33,-001,0001,-001,0000,0000,
34,-001,0001,-001,0000,0000,
35,-001,0001,-001,0000,0000,
36,-002,0000,-001,0000,0000,
37,-002,-001,0000,-001,0000,
38,-002,-001,0000,-001,0000,
39,0000,-001,0000,-001,0000,
40,-001,0000,-001,-001,0000,
41,-001,0000,-001,-001,0000,
42,-001,0000,-001,-001,0000,
43,0000,0000,-001,0000,-001,
44,0000,0000,-001,0000,-001,
45,0000,0000,-001,0000,-001,
46,0000,0000,-001,0000,-001,
47,0000,0000,-001,0000,-001,
48,-001,0000,-001,0000,-001,
49,-001,0000,-001,0000,-001,
