time,delta0,delta1,delta2,delta3,delta4
0,0312,0008,0003,0003,0003,
1,0342,0008,0003,0003,0003,
2,0357,0008,0003,0003,0003,
3,0366,0006,0003,0003,0003,
4,0374,0006,0003,0003,0003,
5,0408,0008,0003,0003,0003,
6,0423,0008,0003,0003,0003,
7,0425,0008,0003,0003,0003,
8,0437,0009,0003,0004,0003,
9,0437,0009,0003,0004,0003,
10,0443,0009,0004,0004,0003,
11,0448,0009,0004,0004,0003,
12,0448,0009,0004,0004,0003,
13,0448,0009,0004,0004,0003,
14,0450,0009,0004,0004,0003,
15,0450,0009,0004,0004,0003,
16,0451,0009,0004,0004,0003,
17,0451,0009,0004,0004,0003,
18,0458,0009,0004,0004,0003,
19,0458,0010,0004,0004,0003,
20,0457,0009,0004,0004,0003,
21,0456,0009,0004,0004,0003,
22,0457,0009,0004,0004,0003,
23,0455,0009,0004,0004,0003,
24,0455,0009,0004,0004,0003,
25,0455,0009,0004,0004,0003,
26,0457,0009,0004,0004,0003,
27,0457,0009,0004,0004,0003,
28,0458,0009,0004,0004,0003,
29,0454,0009,0004,0004,0003,
30,0457,0009,0004,0004,0003,
31,0457,0009,0004,0004,0003,
32,0458,0009,0004,0004,0003,
33,0458,0009,0004,0004,0003,
34,0458,0009,0004,0004,0004,
35,0458,0009,0004,0004,0004,
36,0458,0009,0004,0004,0004,
37,0460,0009,0004,0004,0003,
38,0460,0009,0004,0004,0003,
39,0457,0009,0004,0004,0003,
40,0457,0009,0004,0004,0003,
41,0464,0010,0004,0004,0003,
42,0464,0010,0004,0004,0003,
43,0464,0010,0004,0004,0003,
44,0459,0009,0004,0004,0003,
45,0460,0009,0004,0004,0003,
46,0460,0009,0004,0004,0003,
47,0460,0010,0004,0004,0004,
48,0460,0010,0004,0004,0004,
49,0464,0010,0004,0004,0004,
