time,delta0,delta1,delta2,delta3,delta4
0,0013,0197,0008,0005,0004,
1,0013,0207,0008,0005,0004,
2,0013,0212,0008,0005,0004,
3,0013,0218,0008,0005,0004,
4,0013,0230,0008,0005,0004,
5,0014,0241,0009,0006,0005,
6,0014,0248,0009,0006,0005,
7,0014,0251,0009,0006,0005,
8,0015,0258,0009,0006,0005,
9,0015,0263,0010,0007,0005,
10,0015,0263,0010,0007,0005,
11,0015,0261,0010,0007,0005,
12,0015,0261,0010,0007,0006,
13,0015,0261,0010,0007,0006,
14,0016,0265,0010,0007,0005,
15,0015,0271,0010,0007,0005,
16,0015,0271,0009,0007,0005,
17,0015,0276,0009,0007,0005,
18,0015,0277,0010,0006,0005,
19,0015,0278,0010,0006,0005,
20,0015,0282,0009,0006,0005,
21,0016,0282,0009,0006,0005,
22,0016,0282,0010,0006,0005,
23,0016,0282,0010,0006,0005,
24,0016,0282,0010,0006,0005,
25,0016,0277,0010,0006,0005,
26,0015,0277,0010,0006,0005,
27,0015,0279,0010,0006,0005,
28,0015,0281,0010,0006,0005,
29,0016,0281,0009,0006,0005,
30,0016,0281,0009,0006,0005,
31,0016,0280,0009,0006,0005,
32,0015,0280,0010,0006,0005,
33,0015,0287,0010,0006,0005,
34,0015,0287,0010,0006,0005,
35,0015,0286,0009,0007,0005,
36,0015,0286,0009,0007,0005,
37,0015,0288,0009,0007,0005,
38,0015,0291,0009,0007,0005,
39,0015,0291,0009,0006,0005,
40,0015,0291,0009,0006,0005,
41,0015,0291,0009,0006,0005,
42,0015,0291,0009,0006,0005,
43,0015,0290,0009,0006,0005,
44,0015,0290,0009,0006,0005,
45,0016,0290,0009,0007,0005,
46,0016,0290,0009,0007,0005,
47,0016,0290,0009,0007,0005,
48,0016,0296,0009,0007,0005,
49,0016,0296,0009,0007,0005,
