delta1,delta2,delta3,delta4
0085,0033,0041,0045,
0085,0033,0041,0045,
0088,0032,0046,0044,
0088,0032,0046,0044,
0088,0032,0042,0044,
0090,0034,0041,0044,
0090,0034,0041,0044,
0089,0034,0041,0044,
0089,0036,0042,0047,
0089,0036,0042,0047,
0089,0036,0042,0047,
0090,0037,0041,0048,
0090,0037,0041,0048,
0089,0037,0041,0048,
0087,0033,0045,0043,
0087,0033,0045,0043,
0087,0033,0042,0043,
0090,0033,0042,0041,
0090,0033,0042,0041,
0090,0033,0042,0041,
0091,0039,0043,0049,
0091,0039,0043,0049,
0093,0035,0044,0051,
0096,0035,0043,0048,
0096,0035,0043,0048,
0086,0035,0042,0048,
0086,0036,0042,0048,
0086,0036,0042,0048,
0093,0036,0044,0048,
0093,0037,0044,0048,
