delta1,delta2,delta3,delta4
0114,0191,0322,0282,
0114,0195,0322,0282,
0114,0195,0322,0282,
0112,0193,0330,0287,
0112,0193,0330,0287,
0112,0193,0330,0287,
0118,0199,0332,0293,
0118,0199,0332,0293,
0118,0199,0332,0293,
0112,0199,0331,0297,
0112,0195,0331,0294,
0112,0195,0331,0294,
0114,0195,0335,0282,
0114,0195,0337,0282,
0114,0195,0337,0282,
0119,0198,0339,0291,
0119,0199,0339,0291,
0119,0199,0339,0291,
0118,0194,0337,0291,
0117,0194,0337,0291,
0117,0194,0337,0291,
0117,0200,0339,0293,
0117,0196,0339,0294,
0117,0196,0339,0294,
0119,0196,0339,0286,
0119,0195,0336,0286,
0119,0195,0336,0286,
0116,0193,0328,0287,
0116,0193,0328,0287,
0116,0193,0328,0287,
