delta1,delta2,delta3,delta4
0012,0012,0029,0030,
0012,0012,0029,0030,
0016,0020,0030,0038,
0018,0021,0034,0038,
0018,0021,0034,0038,
0012,0029,0038,0039,
0012,0027,0038,0039,
0012,0027,0038,0039,
0013,0022,0029,0027,
0013,0022,0029,0027,
0013,0022,0029,0027,
0007,0011,0012,0012,
0007,0011,0012,0012,
0007,0011,0012,0012,
0005,0007,0010,0007,
0005,0007,0010,0007,
0005,0007,0010,0007,
0005,-002,0010,0005,
0005,-002,0010,0005,
0005,-002,0010,0005,
0001,0002,0005,0006,
0001,0002,0005,0006,
0001,0002,0005,0006,
-001,0004,0000,0007,
-001,0004,0000,0007,
-001,0004,0000,0007,
0000,0001,0007,0000,
0000,0001,0007,0000,
0000,0001,0007,0000,
0000,0002,0000,0003,
