delta1,delta2,delta3,delta4
-002,-001,0001,-003,
-001,-001,0001,0000,
-001,-001,0001,0000,
-001,-001,0001,0000,
0000,0004,0002,0002,
0000,0004,0002,0002,
0000,0004,0002,0002,
0007,0002,0005,0003,
0007,0002,0005,0003,
0007,0002,0005,0003,
0001,0007,0004,0001,
0001,0007,0004,0001,
0001,0007,0004,0001,
0002,0001,0002,0002,
0002,0001,0002,0002,
0002,0001,0002,0002,
0005,0001,0002,0002,
0005,0001,0002,0002,
0005,0001,0002,0002,
0004,0001,0003,0001,
0004,0001,0003,0001,
0004,0001,0003,0001,
0003,0004,0004,0003,
0003,0004,0004,0003,
0003,0004,0004,0003,
0000,-002,0001,-001,
0000,-002,0001,-001,
-002,-002,0001,-001,
-001,0002,0005,0003,
-001,0002,0005,0003,
