delta1,delta2,delta3,delta4
0012,0014,0026,0023,
0012,0014,0026,0023,
0011,0005,0015,0018,
0011,0005,0015,0018,
0011,0005,0015,0018,
0006,0008,0012,0003,
0006,0008,0012,0003,
0006,0008,0012,0003,
0002,-001,0005,0003,
0002,-001,0005,0003,
0002,-001,0005,0003,
0003,-003,0001,0001,
0003,-003,0001,0001,
0003,-003,0001,0001,
0005,0001,0000,-002,
0005,0001,0000,-002,
0005,0001,0000,-002,
0005,-001,0004,-004,
0005,0000,0004,-003,
0005,0000,0004,-003,
0003,0003,-002,0008,
0003,0003,-002,0008,
0003,0003,-002,0008,
0001,0002,0001,0002,
0001,0002,0001,0002,
0001,0002,0001,0002,
0004,0002,0006,-001,
0004,0002,0006,-001,
0004,0002,0006,-001,
-002,0004,0002,0007,
