delta0,delta1,delta2,delta3
0,-3,5,1
0,-3,5,1
0,-3,5,1
-1,-4,7,4
-1,-4,7,4
-1,-4,7,4
-1,-2,4,2
-1,-2,4,2
-1,-2,4,2
4,-5,8,8
4,-5,8,8
4,-5,8,8
1,-1,9,11
1,-1,9,11
1,-1,9,11
6,3,8,13
6,3,8,13
6,3,8,13
8,4,18,27
8,4,18,27
8,4,18,27
9,10,18,32
9,10,18,32
9,10,18,32
6,7,19,52
6,7,19,52
6,7,19,52
10,9,24,66
10,9,24,66
10,9,24,66
13,11,28,75
13,11,28,75
13,11,28,75
9,12,25,82
9,12,25,82
9,12,25,82
10,9,30,97
10,9,30,97
10,9,30,97
11,8,37,112
11,8,37,112
11,8,37,112
11,8,39,113
11,8,39,113
11,8,39,113
11,9,49,108
11,9,49,108
11,9,49,108
10,4,73,103
10,4,73,103
10,4,73,103
10,15,78,82
10,15,78,82
10,15,78,82
14,17,85,58
14,17,85,58
14,17,85,58
14,17,76,57
14,17,76,57
14,17,58,57
13,32,40,27
24,38,38,49
24,32,38,42
24,31,38,42
13,23,30,27
11,19,28,20
11,19,28,20
8,10,23,19
8,10,23,16
8,10,23,16
8,5,21,12
8,5,21,12
8,5,21,12
8,6,17,13
8,6,17,13
