#sequence_ID, dataset_ID
1,1
2,2
3,3
4,4
5,1
6,2
7,3
8,4
9,1
10,2
11,3
12,4
13,1
14,2
15,3
16,4
17,1
18,2
19,3
20,4
21,1
22,2
23,3
24,4
25,1
26,2
27,3
28,4
29,1
30,2
31,3
32,4
33,1
34,2
35,3
36,4
37,1
38,2
39,3
40,4
41,1
42,2
43,3
44,4
45,1
46,2
47,3
48,4
49,1
50,2
51,3
52,4
53,1
54,2
55,3
56,4
57,1
58,2
59,3
60,4
61,1
62,2
63,3
64,4
65,1
66,2
67,3
68,4
69,1
70,2
71,3
72,4
73,1
74,2
75,3
76,4
77,1
78,2
79,3
80,4
81,1
82,2
83,3
84,4
85,1
86,2
87,3
88,4
89,1
90,2
91,3
92,4
93,1
94,2
95,3
96,4
97,1
98,2
99,3
100,4
101,1
102,2
103,3
104,4
105,1
106,2
107,3
108,4
109,1
110,2
111,3
112,4
113,1
114,2
115,3
116,4
117,1
118,2
119,3
120,4
121,1
122,2
123,3
124,4
125,1
126,2
127,3
128,4
129,1
130,2
131,3
132,4
133,1
134,2
135,3
136,4
137,1
138,2
139,3
140,4
141,1
142,2
143,3
144,4
145,1
146,2
147,3
148,4
149,1
150,2
151,3
152,4
153,1
154,2
155,3
156,4
157,1
158,2
159,3
160,4
161,1
162,2
163,3
164,4
165,1
166,2
167,3
168,4
169,1
170,2
171,3
172,4
173,1
174,2
175,3
176,4
177,1
178,2
179,3
180,4
181,1
182,2
183,3
184,4
185,1
186,2
187,3
188,4
189,1
190,2
191,3
192,4
193,1
194,2
195,3
196,4
197,1
198,2
199,3
200,4
201,1
202,2
203,3
204,4
205,1
206,2
207,3
208,4
209,1
210,2
211,3
212,4
213,1
214,2
215,3
216,4
217,1
218,2
219,3
220,4
221,1
222,2
223,3
224,4
225,1
226,2
227,3
228,4
229,1
230,2
231,3
232,4
233,1
234,2
235,3
236,4
237,1
238,2
239,3
240,4
241,1
242,2
243,3
244,4
245,1
246,2
247,3
248,4
249,1
250,2
251,3
252,4
253,1
254,2
255,3
256,4
257,1
258,2
259,3
260,4
261,1
262,2
263,3
264,4
265,1
266,2
267,3
268,4
269,1
270,2
271,3
272,4
273,1
274,2
275,3
276,4
277,1
278,2
279,3
280,4
281,1
282,2
283,3
284,4
285,1
286,2
287,3
288,4
289,1
290,2
291,3
292,4
293,1
294,2
295,3
296,4
297,1
298,2
299,3
300,4
301,1
302,2
303,3
304,4
305,1
306,2
307,3
308,4
309,1
310,2
311,3
312,4
313,1
314,2
315,3
316,4
317,1
318,2
319,3
320,4
321,1
322,2
323,3
324,4
325,1
326,2
327,3
328,4
329,1
330,2
331,3
332,4
333,1
334,2
335,3
336,4
337,1
338,2
339,3
340,4
341,1
342,2
343,3
344,4
345,1
346,2
347,3
348,4
349,1
350,2
351,3
352,4
353,1
354,2
355,3
356,4
357,1
358,2
359,3
360,4
361,1
362,2
363,3
364,4
365,1
366,2
367,3
368,4
369,1
370,2
371,3
372,4
373,1
374,2
375,3
376,4
377,1
378,2
379,3
380,4
381,1
382,2
383,3
384,4
385,1
386,2
387,3
388,4
389,1
390,2
391,3
392,4
393,1
394,2
395,3
396,4
397,1
398,2
399,3
400,4
401,1
402,2
403,3
404,4
405,1
406,2
407,3
408,4
409,1
410,2
411,3
412,4
413,1
414,2
415,3
416,4
417,1
418,2
419,3
420,4
421,1
422,2
423,3
424,4
425,1
426,2
427,3
428,4
429,1
430,2
431,3
432,4
433,1
434,2
435,3
436,4
437,1
438,2
439,3
440,4
441,1
442,2
443,3
444,4
445,1
446,2
447,3
448,4
449,1
450,2
451,3
452,4
453,1
454,2
455,3
456,4
457,1
458,2
459,3
460,4
461,1
462,2
463,3
464,4
465,1
466,2
467,3
468,4
469,1
470,2
471,3
472,4
473,1
474,2
475,3
476,4
477,1
478,2
479,3
480,4
481,1
482,2
483,3
484,4
485,1
486,2
487,3
488,4
489,1
490,2
491,3
492,4
493,1
494,2
495,3
496,4
497,1
498,2
499,3
500,4
501,1
502,2
503,3
504,4
505,1
506,2
507,3
508,4
509,1
510,2
511,3
512,4
513,1
514,2
515,3
516,4
517,1
518,2
519,3
520,4
521,1
522,2
523,3
524,4
525,1
526,2
527,3
528,4
529,1
530,2
531,3
532,4
533,1
534,2
535,3
536,4
537,1
538,2
539,3
540,4
541,1
542,2
543,3
544,4
545,1
546,2
547,3
548,4
549,1
550,2
551,3
552,4
553,1
554,2
555,3
556,4
557,1
558,2
559,3
560,4
561,1
562,2
