time,delta0,delta1,delta2,delta3,delta4
0,0026,0028,0035,0046,0042,
1,0039,0029,0055,0085,0062,
2,0039,0033,0064,0093,0066,
3,0038,0042,0066,0099,0080,
4,0038,0042,0065,0099,0080,
5,0038,0042,0065,0099,0080,
6,0017,0015,0033,0049,0038,
7,0017,0015,0030,0045,0035,
8,0017,0015,0029,0037,0035,
9,0000,0001,0009,0010,0001,
10,0000,0001,0009,0010,0001,
11,0000,0001,0009,0010,0001,
12,0007,-001,0002,0004,-002,
13,0007,-001,0002,0004,-002,
14,0007,-001,0002,0004,-002,
15,0002,0000,-005,0001,-004,
16,0002,0000,-005,0001,-004,
17,0002,0000,-005,0001,-004,
18,0002,0005,-002,0000,-005,
19,0002,0005,-002,0000,-005,
20,0002,0005,-002,0000,-005,
21,0000,0004,-004,-001,-004,
22,0000,0004,-004,-001,-004,
23,0000,0004,-004,-001,-004,
24,-003,0001,0002,0002,-005,
25,-003,0001,0002,0002,-005,
26,-003,0001,0002,0002,-005,
27,0000,0000,0001,0003,-003,
28,0000,0000,0001,0003,-003,
29,0000,0000,0001,0003,-003,
