time,delta0,delta1,delta2,delta3,delta4
0,0016,0011,0020,0029,0037,
1,0023,0017,0033,0045,0048,
2,0028,0019,0037,0048,0052,
3,0045,0030,0053,0079,0074,
4,0045,0030,0061,0079,0074,
5,0046,0036,0061,0082,0078,
6,0041,0031,0059,0077,0064,
7,0037,0031,0058,0077,0064,
8,0014,0014,0035,0041,0040,
9,0013,0011,0032,0040,0038,
10,0013,0007,0026,0030,0031,
11,0003,0002,0003,0006,0012,
12,0003,0002,0003,0006,0012,
13,0003,0002,0003,0006,0012,
14,0002,-002,-001,0001,0004,
15,0001,-002,-001,0000,0004,
16,0001,-002,-001,0000,0004,
17,0001,-003,-004,0000,0005,
18,0000,-003,-004,0000,0005,
19,0000,-003,-004,0000,0005,
20,0000,-002,-003,-003,0005,
21,0001,-001,-003,-003,0005,
22,0001,-001,-003,-003,0005,
23,-001,-001,-002,-002,0001,
24,-001,-002,-003,-002,0001,
25,-001,-002,-003,-002,0001,
26,0000,-002,-003,-004,0002,
27,0000,-002,-003,-004,0002,
28,0000,-002,-003,-004,0002,
29,0001,-005,0004,0001,0002,
