time,delta0,delta1,delta2,delta3,delta4
0,0019,0022,0040,0073,0059,
1,0044,0044,0073,0121,0113,
2,0068,0070,0099,0144,0143,
3,0068,0070,0102,0147,0143,
4,0068,0070,0101,0147,0143,
5,0068,0070,0101,0147,0143,
6,0062,0051,0076,0124,0115,
7,0050,0036,0060,0097,0091,
8,0041,0030,0051,0072,0067,
9,0018,0010,0030,0040,0037,
10,0018,0010,0030,0040,0037,
11,0018,0010,0027,0035,0036,
12,0018,0010,0023,0023,0023,
13,0014,0010,0023,0021,0023,
14,0014,0008,0017,0019,0022,
15,0009,0006,0012,0005,0006,
16,0009,0006,0012,0005,0006,
17,0009,0006,0012,0005,0002,
18,0003,0005,0003,0003,0008,
19,0003,0005,0003,0003,0008,
20,0003,0005,0003,0003,0008,
21,0003,0006,0004,0003,0006,
22,0003,0006,0004,0003,0006,
23,0003,0006,0004,0003,0006,
24,0001,0007,0004,0005,0008,
25,0001,0007,0004,0005,0008,
26,0001,0007,0004,0005,0008,
27,0003,0008,0003,0004,0007,
28,0003,0008,0003,0004,0007,
29,0003,0008,0003,0004,0007,
