time,delta0,delta1,delta2,delta3,delta4
0,0022,0016,0037,0060,0053,
1,0027,0027,0050,0069,0061,
2,0022,0022,0036,0043,0048,
3,0022,0022,0036,0043,0048,
4,0009,0009,0015,0019,0022,
5,0009,0009,0013,0013,0013,
6,0009,0009,0013,0013,0013,
7,0006,0002,0006,0006,0007,
8,0002,0002,0006,0006,0007,
9,0002,0002,0006,0006,0007,
10,0002,0000,0005,0006,0007,
11,0003,0000,0005,0001,0004,
12,0003,0000,0005,0001,0004,
13,0002,0003,0000,0001,0003,
14,0001,0003,0000,0002,0003,
15,0001,0003,0000,0002,0003,
16,0000,0000,0001,-001,0001,
17,0000,0000,0001,-001,0001,
18,0000,0000,0001,-001,0001,
19,0000,0002,0005,0000,0001,
20,-002,0002,0002,0000,0001,
21,-002,0002,0002,0000,0001,
22,-002,0002,0002,0001,-001,
23,-002,0002,0004,0001,-001,
24,-002,0002,0004,0001,-001,
25,0002,-001,0003,0001,0002,
26,0002,-001,0003,0001,0002,
27,0002,-001,0003,0001,0002,
28,0000,-002,0000,0001,0001,
29,0000,-002,0000,0002,0001,
