delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0001,0001,0000,0000,0002,0002,-001,-001
0000,0000,0001,0000,0000,0002,0002,-001,-001
0000,-001,0001,0000,0000,0002,0000,-001,0001
0001,-001,0001,0000,-001,0000,0000,-001,0001
0001,0000,0002,0000,-001,0000,0001,0000,0001
0001,0001,0002,0000,0001,0000,0001,0000,0000
0000,0000,-001,0000,0001,0001,0003,0000,0000
0000,0001,-001,0000,0000,0001,0001,0000,-002
0000,0000,-001,-001,0000,0001,0001,0000,0001
0000,0001,-001,-001,0001,0000,0001,0002,0001
-001,0000,-001,0001,0002,0000,0001,0000,0001
-001,0000,0003,0001,0002,0005,0001,0000,0002
-001,0000,0005,0003,0002,0006,0001,0000,0003
-001,0000,0009,0002,0001,0008,0000,0000,0004
-001,0001,0016,0002,0001,0020,0001,0002,0009
-001,0002,0021,0002,0001,0024,0000,0002,0015
0000,0004,0022,0001,0004,0030,0001,0002,0017
0001,0004,0036,0000,0005,0032,0001,0004,0017
0001,0004,0036,0000,0005,0034,0001,0004,0017
0001,0004,0039,0000,0005,0035,0001,0004,0017
0001,0004,0039,0000,0005,0035,0001,0004,0017
0001,0004,0033,0000,0005,0035,0001,0004,0017
0001,0004,0033,0000,0005,0035,0001,0004,0017
0001,0004,0023,0000,0005,0035,0001,0004,0017
0002,0020,0020,0002,0023,0023,0001,0008,0012
0004,0028,0008,0003,0030,0012,0003,0014,0007
0005,0039,0005,0007,0032,0009,0005,0020,0007
0005,0042,0003,0007,0033,0005,0005,0020,0007
0005,0042,0003,0007,0038,0005,0005,0020,0007
0005,0042,0002,0007,0040,0005,0005,0020,0007
0005,0038,0003,0007,0043,0003,0005,0020,0007
0005,0034,0002,0007,0043,0003,0005,0020,0007
0011,0028,0003,0014,0041,0003,0009,0021,0004
0022,0015,0002,0022,0035,0002,0010,0021,0003
0028,0008,0001,0025,0022,0002,0017,0014,0003
0028,0008,0001,0025,0022,0002,0017,0014,0003
0032,0008,0001,0028,0022,0002,0017,0014,0003
0033,0007,0001,0028,0022,0002,0017,0014,0003
0032,0007,0001,0033,0022,0002,0017,0014,0003
0031,0006,0001,0033,0022,0002,0017,0014,0003
0031,0006,0001,0034,0022,0002,0017,0014,0003
0031,0006,0001,0037,0022,0002,0017,0014,0003
0031,0006,0001,0039,0022,0002,0017,0014,0003
0019,0006,0000,0039,0008,0006,0023,0008,0003
0016,0006,0000,0036,0008,0006,0023,0005,0003
0011,0006,0000,0036,0011,0006,0023,0005,0003
0012,0006,0000,0036,0011,0006,0023,0005,0003
0010,0006,0000,0036,0009,0006,0023,0005,0003
0010,0006,0000,0036,0009,0006,0023,0005,0003
0010,0006,0000,0036,0008,0006,0023,0005,0003
0010,0005,0000,0015,0008,0008,0023,0004,0000
0007,0003,0001,0013,0006,0008,0021,0002,0000
0007,0003,0001,0012,0006,0008,0021,0002,0000
0007,0003,0001,0010,0006,0008,0021,0002,0000
0007,0003,0001,0010,0006,0008,0021,0002,0000
