delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,-001,0002,-001,0000,-001,0000,0000,0002
-001,0000,0003,0001,0000,0000,0000,0000,0002
-001,0001,0003,0001,0000,0000,0000,0000,0002
0000,0001,0003,0001,0000,0000,0000,0000,0001
0000,0001,0002,0000,0000,0003,0000,0000,0001
0000,0001,0001,0000,0000,0003,0001,0001,0002
0000,0000,0001,0000,0001,0001,0001,0001,0002
0000,0001,0002,0000,0001,0001,0001,0000,0002
0000,0000,0002,0001,0001,0001,0001,0000,0000
0001,0000,0002,0003,0001,0002,0003,0003,0000
0004,0000,0002,0004,0001,0002,0006,0003,0000
0007,0003,0002,0004,0002,0003,0008,0003,0002
0010,0004,0003,0009,0004,0004,0008,0003,0002
0013,0004,0004,0018,0006,0003,0015,0005,0003
0014,0004,0004,0026,0006,0003,0015,0005,0003
0023,0004,0002,0026,0008,0003,0012,0008,0001
0023,0004,0002,0019,0008,0003,0012,0008,0001
0023,0004,0002,0014,0008,0003,0012,0008,0001
0015,0011,0002,0012,0017,0002,0006,0010,0004
0005,0022,0002,0006,0037,0002,0004,0015,0004
0002,0032,0004,0002,0037,0004,0003,0015,0004
0002,0032,0004,0002,0027,0004,0003,0015,0004
0002,0018,0004,0002,0021,0004,0003,0015,0004
0002,0013,0004,0002,0015,0004,0003,0015,0004
0001,0009,0010,0000,0012,0013,0003,0008,0009
0000,0004,0015,0000,0006,0020,0001,0006,0014
0000,0004,0015,0000,0004,0020,0001,0006,0014
0000,0004,0007,0000,0002,0008,0001,0003,0011
0000,0001,0003,0001,0002,0006,0001,0002,0004
0000,0000,0002,0001,0002,0002,0003,0003,0004
0002,0000,0002,0000,0001,0002,0003,0002,0004
0002,0000,0002,0000,0001,0002,0002,0002,0004
0001,0001,0002,0000,0000,0001,0002,0001,0003
0001,0000,0003,0000,0000,-001,0002,0001,0002
0001,0000,0003,0000,0000,-001,0001,0001,0002
0001,0000,0001,0000,0000,-001,0001,0001,0002
0002,-001,0001,0000,0001,0001,0002,0003,0003
0000,-002,0001,0000,0001,0001,0002,0003,0003
0002,-002,0002,0000,0001,0002,0001,0003,0002
0000,-002,0002,0000,0001,0000,0000,0001,0002
0000,0000,0002,0000,0000,0001,0000,0003,0002
0000,0000,0002,-001,0000,0001,0001,0001,0002
0000,0000,0002,-001,0000,0001,0001,0001,0000
0001,0000,0002,-001,0002,0000,0001,0000,0000
0001,-001,0001,-001,0000,0000,0000,0000,0001
0001,-001,0001,0000,0000,0001,0001,0000,0001
-001,-001,0002,0000,0000,0002,0001,0001,0001
0000,-001,0003,-001,0000,0001,0001,0001,0001
0000,-002,0003,-001,-001,0001,0001,0001,0001
0000,-001,0001,0000,0000,0000,0000,0000,0003
0001,-001,0001,0000,0000,0000,0000,0000,0005
0001,0000,0002,0000,0000,0001,0002,0000,0005
0000,0001,0002,0000,0001,0001,0002,0001,0002
0000,0001,0002,0000,0001,0001,0002,0001,0000
0000,0001,0002,0000,0001,0001,0001,0003,0002
