delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,0002,0000,0000,0001,0001,0002,0001,0000
0001,0002,0000,0000,0001,0001,0002,0001,0000
0001,0002,0001,0001,0002,0001,0002,0001,0000
0001,0002,0000,0001,0002,0002,0002,0001,0000
0001,0001,0001,0001,0000,0002,0002,0000,0000
0002,0004,0001,0001,0000,0002,0001,0000,0000
0001,0002,0001,0000,0002,0002,0001,0001,0000
0001,0003,0002,0001,0002,0002,0001,0001,0000
0001,0003,0001,0001,0002,0003,0001,0003,0002
0001,0003,0002,0003,0003,0003,0003,0007,0004
0001,0004,0001,0003,0005,0004,0006,0012,0005
0002,0004,0002,0003,0006,0005,0007,0018,0005
0002,0005,0002,0007,0010,0007,0008,0018,0006
0003,0007,0005,0010,0017,0010,0008,0016,0007
0003,0011,0005,0010,0020,0010,0007,0015,0008
0007,0017,0006,0010,0020,0010,0005,0010,0008
0007,0019,0008,0006,0019,0009,0003,0005,0000
0005,0019,0009,0002,0013,0008,0001,0003,0000
0002,0016,0008,0002,0007,0008,0001,0003,0000
0001,0009,0008,0001,0004,0005,0001,0001,0001
0000,0007,0005,0001,0002,0004,0002,0001,0001
0000,0006,0005,0000,0001,0004,0001,0001,0001
0002,0004,0002,0000,0001,0004,0002,0000,0000
0002,0003,0002,0000,0001,0003,0002,0000,0000
0002,0002,0001,0001,0001,0002,0002,0000,-001
0001,0002,0001,0001,0001,0003,0001,0002,-001
0001,0002,0001,0001,0001,0003,0001,0002,-001
0001,0001,0003,0001,0002,0003,0001,0000,-001
0001,0002,0003,0001,0002,0004,0002,0000,-001
0000,0002,0001,0001,0002,0004,0002,0000,-001
0000,0002,0001,0001,0001,0001,0002,0001,0000
0001,0003,0000,0001,0001,0001,0002,0000,0000
0001,0002,0002,0001,0002,0002,0002,0001,0000
0001,0001,0002,0001,0002,0002,0002,0002,0000
0001,0001,0002,0000,0003,0002,0001,0002,0000
0001,0004,0001,0000,0003,0000,0001,0000,0000
0001,0004,0001,0000,0003,0000,0002,0000,0000
0001,0003,0001,0000,0001,0000,0002,0000,-001
0001,0003,-001,0000,0001,0000,0002,0000,-001
0002,0002,-001,0000,0001,0000,0002,0000,0000
0002,0002,0002,0000,0003,0002,0002,0000,0000
0002,0001,0003,0000,0003,0002,0002,0000,-001
0000,0001,0003,0000,0001,0003,0003,0000,-001
0000,0001,0001,0000,0001,0002,0003,0001,-001
0000,0002,0001,0003,0001,0002,0003,0001,0000
0000,0002,0000,0001,0001,0002,0002,0001,-001
0001,0002,0000,0001,0002,0002,0002,0001,-001
0001,0002,0001,0001,0001,0002,0002,0000,-001
0001,0003,0001,0000,0001,0002,0001,-001,-001
0001,0003,0004,0000,0001,0003,0001,-001,-001
0001,0003,0001,0001,0002,0003,0001,0001,-001
0000,0002,0001,0001,0002,0003,0002,0001,0000
0000,0002,0001,0001,0000,0003,0003,0001,0000
0000,0002,0001,0000,0000,0003,0003,0001,0000
0000,0002,0001,0001,0001,0002,0003,0001,-002
