delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0002,0003,0003,-001,0000,0000,0000,0000,0003
-001,0003,0003,-001,0000,0000,-001,0000,0004
-001,0000,0000,-001,0000,0000,0000,0000,0004
-001,0000,0000,0000,0000,0000,0000,0000,0004
0001,0000,0001,-001,0001,0000,0002,0000,0003
0001,0000,0001,-001,0001,0000,0002,0000,0003
0001,0000,0001,-001,0001,0001,0001,0000,0003
0000,0000,0000,-001,-002,0001,0000,0000,0003
-002,0000,0002,-001,-002,0001,0000,0000,0003
-002,0000,0002,-001,-002,0005,0000,0000,0003
0000,0002,0006,0000,0001,0008,0003,0003,0011
0000,0002,0011,0000,0002,0009,0003,0003,0011
0000,0004,0011,0000,0004,0013,0003,0006,0011
0004,0012,0009,0003,0015,0013,0006,0010,0010
0005,0020,0002,0004,0024,0006,0006,0013,0009
0009,0020,0002,0008,0024,0006,0007,0013,0004
0012,0005,0002,0031,0016,0003,0017,0012,0004
0012,0004,0004,0031,0009,0003,0027,0005,0006
0012,0004,0004,0027,0009,0003,0027,0005,0006
0012,0004,0004,0021,0009,0003,0029,0005,0006
0012,0004,0004,0017,0009,0003,0029,0005,0006
0012,0004,0004,0017,0009,0003,0025,0005,0006
0012,0004,0004,0017,0009,0003,0020,0005,0006
0009,0004,0001,0005,0004,0002,0009,0003,0003
0003,0003,0001,0002,0002,0002,0005,0003,-001
0001,0001,0001,0001,0000,0001,0004,0002,-001
0000,0001,0001,0001,0000,0000,0004,0002,-003
0000,0001,0001,0001,0000,-001,0002,0000,0002
0000,-002,0001,0000,0000,-001,0000,0000,0002
0000,-002,0001,0000,0000,-001,0000,0000,0002
0000,-002,0001,0000,0000,0000,0000,0000,0002
0002,-001,0001,-001,0000,0001,0000,-001,0004
0002,-001,0000,-001,0000,0001,0000,-001,0004
0002,-001,0000,-001,0000,0001,0000,-001,0000
0002,0000,-001,-001,0001,0000,0004,-001,0000
0002,0000,-002,-001,0001,0000,0004,-001,0000
0002,0000,-002,-001,0001,-001,0001,-001,0004
0001,0001,0000,-001,0001,-001,0001,-001,0003
0001,0001,0000,-001,0001,0000,0001,-001,0003
0001,0000,0000,0000,0001,0001,0003,0000,0003
0002,0000,0001,0001,0000,0001,0000,0000,0002
0002,0000,0001,0001,0000,0001,0000,0000,0002
0001,0001,0001,0002,0000,-001,0000,0000,0002
0001,0000,0001,0001,0000,-001,0001,0000,0003
0001,0000,0002,0001,0000,-001,0001,0000,0003
0002,0000,0002,0001,0000,-001,0001,0000,0003
0001,0000,0002,0003,-004,0001,0004,0000,0001
0001,0000,0002,0003,-003,0000,0004,0000,0001
0001,0000,0001,0002,-003,0000,0002,0000,0001
0001,0001,0001,0000,-001,-002,0000,0002,0003
-001,0001,0001,-001,-001,-002,0000,0002,0003
-001,0001,0001,-001,-001,-002,0000,0002,0001
-001,0001,0001,0000,0000,-002,0004,0002,0001
0000,0001,0001,0000,0000,0000,0004,0002,0001
0002,0001,0002,0000,0001,0000,0003,0002,0003
