delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0001,0001,0001,0002,0002,0000,-001,0001
0001,0001,0001,0000,0002,0002,0001,-001,0001
0000,-001,0001,0000,0000,0002,0001,-001,-001
0000,0000,0000,0002,0002,0003,0002,0002,-001
0000,0000,-001,0002,0002,0002,0003,0001,0000
0000,0001,-001,0002,0003,0002,0003,0001,0001
0002,0001,0001,0003,0003,0001,0007,0001,0001
0002,0002,0002,0004,0004,0002,0008,0003,0003
0003,0001,0002,0008,0004,0003,0011,0004,0003
0003,0003,0002,0010,0004,0006,0011,0008,0003
0006,0003,0002,0012,0010,0006,0009,0013,0005
0006,0006,0003,0012,0019,0007,0008,0016,0006
0005,0007,0005,0006,0019,0009,0005,0016,0008
0001,0014,0007,0003,0018,0013,0004,0013,0011
0001,0014,0012,0002,0015,0021,0003,0006,0014
0001,0005,0017,0000,0006,0021,-001,0000,0014
0000,0002,0017,0000,0003,0019,-001,0000,0009
0000,0000,0011,0000,0002,0012,-001,0000,0005
0000,0000,0004,0001,-001,0005,-001,0000,0002
0000,0000,0003,0001,-001,0003,0000,0000,0002
0000,-001,0003,0000,0001,0002,0000,0000,0002
-002,-002,0000,0000,0001,0003,0000,0001,0000
-002,-002,0000,0000,0001,0003,0001,0000,0000
-001,-001,0000,0001,0000,0003,0002,-001,0000
0001,0000,0004,0001,-001,0001,0002,-001,0001
0000,0000,0001,0001,-001,0001,0000,-001,0001
0000,0000,0001,0001,0000,0000,0000,-002,0001
0000,-001,0001,0001,0000,0000,0000,-002,0001
0000,-001,0000,0001,0000,0000,0001,0000,0001
0000,-001,0001,0001,0000,0002,0000,0001,0000
0000,-001,0001,0001,0000,0002,0000,0001,0001
0000,0000,0001,0001,0000,0003,0000,0001,0001
0001,0000,0001,0001,0000,0002,-001,-001,0001
0001,0000,0001,0001,0001,0002,0000,-001,0000
0001,0000,0001,0000,0001,0002,-001,-001,0000
0000,0000,0000,0001,0001,0002,0001,-001,0002
0000,0000,-001,0001,0001,0002,-001,-001,0002
0000,0000,-001,0001,0000,0002,0001,-001,0002
0000,-001,0001,0001,0000,0001,-001,-001,0001
0001,0000,0001,-001,0000,0002,0003,-001,0001
-001,0000,0001,-001,0000,0003,0000,-001,0000
-001,0000,0001,0000,0000,0003,0000,-001,-001
-001,-001,0001,0001,0000,0003,0000,0000,0000
0000,-001,0001,0001,0000,0002,0000,0000,0001
0000,0000,0002,0001,0001,0001,0000,0000,0001
0002,0000,0002,0001,0001,0001,0001,0000,0001
0000,0000,0002,-001,0000,0001,0001,0000,0001
0000,0000,0002,0000,0000,0002,0001,0000,0001
0000,0000,0000,-001,0000,0002,0000,0000,0001
0000,0000,0002,0000,0000,0002,0000,0000,0002
0000,0000,0001,0001,0000,0002,0000,0000,0003
0001,-002,0001,0001,0001,0003,-001,0000,0002
0001,-002,0001,0001,0000,0004,-001,-001,0003
0001,0000,0001,0000,0001,0004,-001,0000,0002
0000,0000,0001,0000,0000,0005,0001,0000,0000
