delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0002,0003,0002,0001,0002,0006,0002,0010,0015
0002,0003,0002,0001,0009,0011,0006,0018,0015
0002,0004,0003,0002,0016,0014,0006,0020,0015
0001,0000,0001,0000,0001,0000,-002,-001,0001
0001,0000,0001,0000,-001,0000,-002,-001,0000
0001,0000,0001,0000,-001,0000,-002,-001,0000
0002,0001,0000,-001,-001,0003,-003,0000,0000
0002,0001,0000,-001,-001,0003,0001,0000,0001
0002,0001,0000,-001,-001,0005,0001,0000,0003
0001,-001,0000,-001,0000,0002,0001,0001,0004
0001,-001,0002,-001,0000,0002,0001,0001,0004
0001,-001,0002,-001,0000,0002,0001,0001,0007
0001,0000,0002,0002,0002,0005,-001,0005,0013
-001,0001,0002,0002,0002,0005,-001,0006,0018
-001,0001,0003,0001,0002,0008,-001,0006,0025
0003,0005,0007,0001,0005,0018,0003,0013,0026
0003,0005,0007,0001,0005,0018,0003,0013,0025
0003,0005,0007,0001,0005,0018,0003,0013,0025
0004,0006,0011,0002,0009,0022,0002,0008,0021
0004,0006,0011,0002,0009,0022,0002,0008,0018
0003,0006,0014,0002,0005,0020,0002,0002,0007
0001,0006,0014,0002,0005,0017,0001,0002,0003
0001,0004,0014,0002,0003,0009,0002,-001,0002
0001,0003,0007,0002,0000,0002,0001,0002,0002
0001,0000,0003,0000,0000,0002,0001,0000,0002
0001,0000,0000,0000,-002,0002,0000,0000,0000
0001,0000,0000,0000,0000,0002,0000,0000,0002
0003,0000,0000,0000,-001,-001,0000,0001,0001
0003,0001,0000,0000,-001,-001,0000,0001,0002
0002,0001,0000,0000,-001,-001,0000,0001,0002
0000,0001,0000,0000,-001,0000,0000,0001,0002
0000,-001,-001,0000,-001,0000,0000,0001,0001
0000,-001,-001,0000,-001,0001,0000,0001,0001
0001,0001,0002,0000,0000,0001,0000,-001,0000
0001,0001,0002,0000,0000,0001,0000,-001,0002
0000,0001,0002,0000,0000,0001,0000,-001,0002
0000,-001,0000,0000,0000,0002,0000,0001,0002
0000,0000,0000,0000,0000,0002,0000,0001,0001
0003,0000,0000,0000,0000,0003,0000,0001,0001
0000,0001,0001,0000,0000,-001,0000,0001,0002
0000,0001,0001,0000,0000,-001,-001,0001,0002
0000,0001,0000,0000,0000,-001,-001,0001,0002
0003,0000,0000,-001,0000,0001,0000,0000,0001
0003,0000,0000,-001,0000,0001,0000,-001,0001
0002,0000,0000,-001,0000,0000,0000,-001,0000
0001,0000,0000,-001,-001,-001,0000,0000,0000
0001,0001,0000,-001,-001,-001,0000,0000,0000
0001,0001,0000,-001,-001,0001,0000,0000,0001
0002,0001,0000,0000,0000,0001,0002,0000,0001
0002,0001,0000,0000,0000,0000,0002,-001,-001
0002,0001,0000,0000,-001,0000,0002,-001,-001
-001,0000,0000,0000,-001,0001,0000,0002,-001
-001,0000,0000,0000,-001,0001,0000,0002,0000
-001,0000,0000,0000,0000,0002,0000,0000,0000
0000,-001,0000,0002,0000,0000,-002,0000,0002
