delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,-001,0001,-001,0000,0002,0001,0001,0001
0001,-001,0000,-001,0000,0002,0000,0001,0001
0001,0000,0002,-001,0001,0002,0000,0002,0001
-002,0000,0001,-001,0001,0001,0000,0002,0001
-002,0000,0001,-001,0001,0000,0000,0002,0000
0000,0000,0001,-001,0001,0000,-001,0001,0000
0000,-001,0001,0000,0002,0002,-001,0001,0001
0000,0001,0001,0000,0002,0002,-001,0000,0001
0000,0001,0001,0000,0002,0003,-001,0000,0001
-001,0001,0001,0000,0002,0003,0002,0001,0003
-001,0002,0001,0000,0002,0003,0000,0003,0003
0001,0005,0002,0001,0005,0004,0002,0003,0004
0001,0006,0003,0002,0009,0007,0001,0004,0006
0001,0016,0004,0004,0014,0009,0001,0011,0007
0001,0020,0004,0004,0021,0009,0001,0015,0010
0002,0026,0004,0004,0024,0009,0000,0018,0012
0003,0027,0005,0004,0026,0009,-001,0018,0014
0003,0030,0005,0004,0026,0009,-001,0018,0014
0003,0030,0005,0004,0028,0009,-001,0018,0014
0003,0030,0005,0004,0029,0009,-001,0018,0014
0003,0030,0005,0004,0030,0009,-001,0018,0014
0003,0030,0005,0004,0030,0009,-001,0018,0014
0003,0030,0005,0004,0029,0009,-001,0018,0014
0003,0030,0004,0003,0027,0009,0002,0018,0011
0002,0028,0004,0003,0025,0009,0002,0013,0008
0002,0024,0005,0003,0021,0008,0002,0012,0007
0000,0020,0005,0002,0014,0006,0000,0010,0006
0000,0013,0001,0002,0014,0006,0000,0006,0002
0000,0013,0001,0002,0010,0006,0000,0006,0002
0000,0009,0001,0002,0010,0006,0000,0006,0002
0000,0007,0001,0002,0009,0006,0000,0006,0002
0000,0007,0001,0002,0008,0006,0000,0006,0002
0000,0007,0001,0002,0007,0006,0000,0006,0002
0000,0006,0001,0002,0007,0006,0000,0006,0002
0001,0005,0002,0002,0005,0005,0000,0003,0004
0001,0002,0002,0000,0003,0004,0001,0003,0004
0002,0001,0002,0002,0003,0002,0001,0002,0003
-001,0001,0004,0001,0002,0002,0001,0002,0003
0001,0000,0004,0001,0002,0002,0000,0001,0002
-001,0000,0001,0000,0002,0002,-001,0001,0002
0000,0000,0001,0000,0001,0002,0000,0000,0002
-002,0000,0001,0000,0001,0001,-001,0000,0000
0000,0000,0000,0000,0001,0002,-001,0000,0001
0000,0000,0000,-001,0000,0001,-003,0002,0001
0000,0000,0000,-001,0000,0001,-003,0000,0001
0000,0001,0002,-001,0001,0001,-002,-001,0003
-001,0001,-001,0000,0003,0001,-001,-001,0003
0000,-001,-001,-001,0001,0001,-001,0001,0003
0000,-001,-001,-001,0001,0000,-001,0001,0001
0000,-001,0000,-001,0000,0000,-001,0001,0001
0000,0000,0000,0000,0001,0000,-001,0001,0001
-001,0000,0000,0000,0001,0000,-001,0000,0000
-001,0000,0000,0001,0001,0002,-001,0001,0000
-001,0000,0000,-001,0000,-001,-001,-001,0004
-003,0000,0000,0000,0000,0002,-001,-001,0004
