delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,-001,0001,-001,-001,-001,-001,0000,-001
0000,-001,0000,-001,-001,-001,-001,0000,-001
0000,-001,0001,0000,-001,0000,-001,0000,-002
0000,-001,0000,-001,-001,0001,-002,0000,-001
0000,-001,0000,-001,-001,0001,-002,0001,0000
0000,-001,-001,-002,-001,0002,-002,0001,0001
0000,-001,-001,-002,-001,0004,-002,0001,0002
0000,-001,0002,-002,0000,0004,-002,0001,0002
0000,-001,0005,-001,0000,0009,-002,0000,0006
0000,-001,0008,-001,0000,0012,-003,0000,0008
0001,0001,0014,-001,0000,0018,-003,0000,0009
0000,0003,0017,-001,0004,0018,-003,0000,0009
0002,0003,0017,-001,0005,0014,-001,0003,0010
0001,0009,0012,-001,0014,0013,-001,0007,0010
0003,0017,0011,0000,0021,0010,0001,0011,0007
0005,0017,0001,0002,0021,0006,0002,0013,0003
0008,0014,0001,0007,0020,0002,0002,0013,0002
0015,0010,0000,0012,0018,0002,0005,0011,0001
0015,0007,0000,0015,0011,0001,0009,0009,0001
0013,0007,0004,0015,0008,0001,0010,0006,0001
0011,0002,0004,0015,0005,0006,0011,0004,0001
0008,0002,0003,0013,0003,0006,0010,0004,0000
0006,0001,0002,0012,0003,0006,0009,0003,0000
0004,0000,0001,0005,0003,0002,0008,0003,0000
0004,0000,0001,0003,0003,0003,0006,0003,0003
0002,0000,0000,0003,0001,0001,0004,0001,0001
0004,0000,0000,0001,0001,0002,0002,0001,0001
0002,0001,0001,0001,0001,0002,0002,0000,0001
0003,0001,0001,0001,0001,0002,0003,0000,0001
0002,0001,-001,0001,0000,0001,0003,0000,0000
0003,0001,-001,0000,0000,0001,0003,0001,0000
0002,0001,-001,-001,0000,0001,0001,0001,0000
0002,0001,0000,-001,0000,0001,0001,0000,0000
0000,0001,0000,-001,0000,0001,0000,0000,0000
0000,-001,0000,-001,-001,0000,0000,0000,0001
0000,-001,0001,-001,-001,0000,0000,0000,0001
0000,0000,0000,-001,-001,0001,-001,0000,0000
0001,0000,-001,-001,0000,0001,-001,0000,0000
0001,0000,-001,-002,0001,-001,-003,0001,0000
0002,-001,-001,-002,0000,-001,-003,0001,-001
0002,-001,0002,-002,0000,0000,-002,0001,0000
0000,-001,0002,-001,-001,0000,-002,-001,0002
0000,-001,0001,-001,-001,0000,-001,0000,0002
0000,0001,0001,-001,-001,0000,-001,-001,0000
0000,0000,0001,-001,-002,-001,-001,-001,-001
0000,0001,0000,-001,-001,-001,-001,-001,0000
0001,0000,-002,-001,-002,-003,-002,-001,-001
0001,-001,-002,-001,-002,-002,-002,-001,-001
0001,-001,-002,0000,-002,-002,-003,-001,-001
-001,-001,-001,-001,-001,0001,-002,0000,-001
-001,0000,-001,-001,-001,0001,-002,0000,0000
0000,0001,0001,-001,-001,0000,-001,0000,0000
0000,0001,0000,-001,-001,-001,-001,0000,0000
0000,0001,0000,-002,-001,-001,-001,0000,-002
0000,0001,0000,-002,-001,-001,-001,0001,0001
