delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,0001,0001,0002,0003,0001,0003,0002,0002
0002,0001,0000,0004,0004,0002,0003,0002,0002
0003,0001,0000,0004,0003,0002,0004,0002,0002
0003,0002,-001,0006,0004,0002,0006,0002,0002
0004,0002,-001,0007,0003,0002,0008,0002,0002
0004,0002,-001,0009,0004,0002,0008,0002,0003
0009,0004,-001,0013,0007,0002,0009,0003,0004
0009,0005,0001,0013,0009,0001,0009,0007,0004
0009,0009,0002,0013,0009,0003,0009,0009,0003
0008,0010,0001,0009,0016,0003,0006,0010,0003
0008,0014,0002,0004,0019,0004,0002,0012,0004
0004,0014,0005,0002,0019,0006,0002,0012,0009
0001,0013,0008,0000,0018,0012,0002,0006,0009
0001,0007,0014,-001,0007,0015,0000,0003,0009
0001,0006,0015,-001,0003,0020,-001,0002,0016
0001,0001,0015,0001,0002,0020,-002,0001,0011
0000,0001,0008,0001,0001,0019,-002,-001,0011
0001,0001,0006,0000,0001,0009,0000,-001,0009
0000,0000,0002,0000,0001,0005,0000,0000,0007
0000,0000,-001,-001,0001,0004,0000,0000,0005
0000,0000,0002,-001,-001,0003,0000,0000,0005
0000,0001,0002,0001,-001,0004,-001,0000,0004
0000,0000,0002,0001,-001,0002,-001,0000,0004
0000,0002,0001,0000,0001,0003,-001,0000,0002
0001,0000,0001,0000,0000,0001,0001,0001,0002
0001,0000,0001,0002,0001,0001,0001,0000,0002
0001,0000,0001,0002,0000,0000,0001,-002,0003
-001,0001,0001,0001,0001,0000,0001,-002,0004
0001,0001,0001,0001,0000,0001,0001,0000,0004
0001,0001,0001,0001,-001,0001,0001,0000,0004
0001,0000,0000,0000,-001,0001,-001,-001,0001
0000,0000,0000,0000,-001,0000,-001,-002,-006
0000,0000,0000,0001,0000,0000,-001,-002,-006
0001,0001,-001,0001,0001,0000,-001,-001,0002
0001,0000,0000,0001,0000,-001,0000,-001,0002
0001,0001,0000,0001,0000,0000,-001,-001,0000
0001,0001,0000,0000,0000,0000,0000,0000,0000
0000,0001,-001,0000,-001,0000,0000,0000,0000
0001,0000,-003,-001,-001,-001,0001,0000,0000
0000,0000,-001,0000,-001,-001,0000,0000,0001
0000,-001,-001,0000,0001,0001,0000,0002,0001
0000,-001,-001,0001,0001,0001,0000,0001,0000
0001,0000,-001,0001,0001,0000,0000,0001,0000
0001,0000,-002,0001,0001,-001,0000,0001,0000
0002,0000,-002,0001,0001,-003,0000,0001,0000
0000,0001,-002,0000,0001,-003,0000,0001,0000
-001,0001,0000,-001,0001,-001,0000,0000,-001
-001,0001,0000,-002,0001,-001,0001,0000,-001
-001,-001,0000,-002,0001,-001,0000,0001,-001
0000,-001,0000,-002,-001,0001,0000,0001,0001
0000,0000,-001,0000,0000,0001,-001,0001,0001
0000,0000,-001,0000,0000,0001,-001,0001,0001
0000,0000,-001,0000,0000,0000,-001,0001,0002
0000,0000,-001,0000,0001,0000,0001,0002,0002
0000,0000,-003,0000,0002,0000,-001,0000,0002
