delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0002,0000,0000,0001,0000,0002,0000,0001,0000
0002,0001,0000,0001,0000,0003,0000,0001,0000
0001,0000,0000,-001,0000,0003,0001,0001,-001
0001,0002,0000,-001,0001,0002,0002,0002,-001
0001,0001,0001,0000,0001,0002,0002,0001,0000
0001,0002,0001,0002,0000,0002,0001,0002,0000
0001,0002,0001,0001,0000,0002,0000,0001,0000
0001,0002,0000,0001,0000,0002,0001,0001,-001
0001,0001,0000,0000,0000,0002,0000,0001,-001
0001,-001,0002,0000,0001,0003,0001,0003,0001
0001,-001,0002,0000,0001,0003,0001,0003,0001
0002,-001,0002,0000,0001,0003,0003,0003,0002
0002,0001,0002,0000,0001,0003,0003,0005,0004
0002,0002,0002,0001,0003,0004,0004,0012,0008
0002,0003,0003,0004,0007,0004,0008,0021,0009
0002,0006,0004,0006,0016,0007,0009,0021,0013
0005,0008,0004,0012,0031,0010,0009,0021,0013
0008,0018,0004,0012,0031,0010,0005,0015,0007
0008,0018,0004,0012,0031,0010,0005,0015,0007
0008,0018,0004,0012,0029,0010,0005,0015,0007
0008,0018,0004,0012,0026,0010,0005,0015,0007
0008,0018,0004,0012,0026,0010,0005,0015,0007
0008,0018,0004,0012,0022,0010,0005,0015,0007
0006,0022,0010,0004,0018,0010,0003,0007,0003
0005,0022,0017,0001,0012,0008,0002,0004,0003
0005,0022,0017,0001,0011,0008,0002,0004,0003
0005,0022,0017,0001,0009,0008,0002,0004,0003
0005,0022,0017,0001,0008,0008,0002,0004,0003
0005,0022,0017,0001,0006,0008,0002,0004,0003
0005,0022,0017,0001,0005,0008,0002,0004,0003
0003,0012,0011,0001,0004,0006,0002,0003,0002
0001,0007,0005,0002,0003,0004,0002,0002,0000
0001,0006,0004,0000,0003,0003,0001,0002,0000
0002,0004,0004,0001,0001,0004,0001,0001,-001
0002,0003,0002,0001,0001,0005,0001,0001,-001
0002,0002,0002,0001,0001,0005,0002,0001,-001
0000,0003,0002,0002,0001,0004,0001,0001,0000
0002,0002,0002,0002,0001,0002,0002,0001,0000
0002,0002,0002,0002,0001,0002,0002,0001,0000
0002,0002,0002,0001,0001,0002,0002,0001,-001
0001,0002,0004,0001,0000,0002,0001,0002,-001
0001,0002,0005,0001,0000,0002,0001,0001,-001
0001,0002,0005,0000,0000,0003,0001,0000,0002
0001,0001,0002,0000,0000,0003,0002,0000,0002
0002,0001,0002,0000,0001,0003,0001,0002,0001
0002,0001,-001,0000,0000,0003,0000,0002,0000
0002,0001,0000,0000,0000,0002,0000,0002,0001
0001,0002,0000,0001,0000,0002,0001,0001,0000
0001,0001,0000,0000,0000,0002,0002,0002,0005
0001,0001,0002,0000,0001,0002,0001,0001,-003
0000,0001,0002,0000,0001,0002,0002,0001,0002
0000,0001,0002,0000,0001,0002,0000,0001,0002
0000,0000,0002,0002,0001,0000,0001,0001,0002
0001,0000,0002,0000,0000,0003,0001,0001,0001
0001,0000,0000,0000,0000,0000,0002,0000,0000
