delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0000,0001,0002,0002,0001,0002,0000,0001
0000,0002,0001,0001,0001,0001,0001,0001,0001
0001,0002,0001,0001,0001,0001,0001,0001,0002
0001,0000,0001,0001,0002,0001,0001,0001,0002
0001,0000,0000,0001,0002,0001,0001,0001,0002
0000,0000,0002,0001,0001,0001,0001,0001,0002
0000,0002,-001,0001,0001,0002,0001,0002,0002
0000,0002,0002,0002,0003,0002,0001,0002,0002
0000,0002,0000,0002,0003,0002,0000,0002,0001
-001,0003,0002,0002,0003,0002,0000,0002,0001
-001,0001,0003,0002,0003,0002,0000,0004,0004
-001,0001,0003,0003,0003,0004,0004,0007,0004
0000,0001,0001,0003,0004,0005,0006,0011,0006
0002,0002,0001,0004,0007,0005,0007,0019,0006
0002,0002,0002,0005,0009,0005,0008,0026,0007
0000,0001,0002,0007,0018,0002,0014,0031,0008
0000,0001,0002,0007,0018,0002,0014,0031,0008
0000,0001,0002,0007,0018,0002,0014,0029,0008
0000,0001,0002,0007,0018,0002,0014,0027,0008
0000,0001,0002,0007,0018,0002,0014,0027,0008
0000,0001,0002,0007,0018,0002,0014,0024,0008
0003,0012,0003,0011,0044,0009,0010,0021,0006
0006,0021,0009,0017,0044,0009,0005,0014,0005
0006,0021,0009,0017,0035,0009,0005,0014,0005
0006,0021,0009,0017,0033,0009,0005,0012,0005
0006,0021,0009,0017,0033,0009,0005,0010,0005
0006,0021,0009,0017,0027,0009,0005,0009,0005
0006,0021,0009,0017,0025,0009,0005,0007,0005
0006,0021,0009,0017,0025,0009,0005,0007,0005
0009,0027,0009,0007,0018,0009,0004,0005,0005
0009,0027,0006,0005,0015,0009,0001,0002,0003
0009,0023,0006,0005,0013,0009,0001,0002,0003
0009,0021,0006,0005,0012,0009,0001,0002,0003
0009,0021,0006,0005,0010,0009,0001,0002,0003
0009,0021,0006,0005,0009,0009,0001,0002,0003
0009,0021,0006,0005,0007,0009,0001,0002,0003
0001,0013,0006,0004,0006,0004,0002,0002,0002
0001,0007,0005,0002,0005,0003,0002,0000,0002
0001,0005,0002,0001,0003,0003,0002,0000,0001
0001,0002,0005,0001,0002,0002,0002,0001,0002
0001,0001,0003,0001,0002,0002,0001,0001,0001
0001,0001,0003,0001,0002,0002,0001,0001,0001
-001,0000,0002,0001,0002,0000,0001,0002,-001
-001,0000,0002,0001,0001,0000,0000,-001,-001
-001,0000,0002,0001,0001,0000,0001,0002,-001
-001,0000,0002,0001,0001,-001,0000,0002,-001
-001,0000,0000,0002,0001,0000,0000,0002,-001
-001,0000,0001,0002,0001,0001,0000,0002,-001
-001,0000,0001,0001,0001,0001,0002,0001,-002
-001,0000,0001,0001,0001,0000,0002,0001,0001
-001,0000,0001,0001,0001,-002,0002,0000,0001
-001,0000,0001,0001,0002,0000,0001,0000,0001
0000,-001,0001,0001,0001,0000,0002,0001,0001
0001,0000,0001,0001,0001,0001,0001,0001,0000
0000,0000,0001,0000,0001,0001,0001,0001,0001
