delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-001,0001,-002,0001,0001,-001,0001,0002,0003
-001,0000,-002,0001,0001,0002,0001,0002,0002
-002,-002,0000,0001,0000,0000,-001,0002,0002
-002,0000,0000,-001,0000,0000,-001,0002,0001
-002,0000,0000,-001,0000,0000,-001,0002,0000
0001,0000,-001,0001,0001,0002,0000,0001,0000
0001,0000,-001,0001,0001,0003,0001,0001,0000
0001,0000,-001,0000,0001,0002,0001,0001,0000
0001,0001,-001,0000,0001,0001,0001,0000,0000
0001,0001,-001,0000,0001,0001,0000,0000,0002
0001,0001,0002,0000,0001,0001,0000,-002,0002
0002,0002,0002,0001,0002,0005,0002,-002,0003
0004,0003,0002,0001,0003,0005,0002,0001,0003
0004,0005,0003,0001,0005,0005,0002,0001,0003
0007,0020,0003,0006,0017,0010,0001,0007,0006
0009,0027,0005,0006,0025,0011,0002,0007,0006
0009,0039,0005,0006,0027,0011,0002,0007,0005
0009,0039,0005,0006,0028,0011,0002,0007,0005
0009,0037,0005,0006,0028,0011,0002,0007,0005
0009,0035,0005,0006,0027,0011,0002,0007,0005
0009,0032,0005,0006,0026,0011,0002,0007,0005
0009,0029,0005,0006,0021,0011,0002,0007,0005
0006,0019,0005,0006,0019,0010,0002,0007,0005
0006,0014,0006,0007,0015,0010,0005,0008,0006
0006,0011,0006,0007,0012,0010,0005,0008,0006
0006,0011,0006,0007,0011,0010,0005,0008,0006
0006,0006,0006,0007,0009,0010,0005,0008,0006
0006,0006,0006,0007,0009,0010,0005,0008,0006
0006,0006,0006,0007,0008,0010,0005,0008,0006
0005,0006,0002,0006,0006,0007,0004,0005,0006
0003,0001,0001,0003,0004,0005,0003,0004,0003
0004,0001,0001,0002,0004,0004,0002,0003,0003
0001,0001,0000,0002,0003,0001,0002,0001,0001
0001,0001,0000,0002,0001,0001,0002,0001,0000
0001,0001,0000,0002,0001,0001,0002,0001,0000
0000,0001,0000,0000,0000,0001,0001,0000,0000
0000,-002,0000,0001,0000,0001,0001,0000,-001
0000,-002,0000,0001,0000,0001,0001,0000,-001
0001,0000,0000,0001,0001,-001,0001,0000,-001
0001,0000,-002,0000,0001,-001,0001,0000,0000
0001,0001,-002,0000,0001,-001,0001,0000,0005
-001,0001,-001,0001,0002,0000,0002,0001,0005
-001,-001,0000,0001,0002,0000,0002,0000,0000
-001,-001,0000,0001,0002,0000,0002,0001,0000
0002,0001,0000,0001,0001,0001,0001,0001,0001
0002,0001,-001,0001,0001,0001,0001,0001,0001
0002,0001,-001,0001,0001,0001,0001,0001,0001
0000,-001,-002,0001,0002,0003,0001,0002,0003
0000,-001,-002,0001,0002,0003,0001,0002,0003
0000,-001,-002,0001,0001,0002,0002,0002,0003
0001,-001,-001,0000,0001,0000,0001,0001,0000
0001,-002,-001,0000,0001,0000,0002,0001,0000
0001,-002,-001,0000,0001,0000,0003,0001,0000
0001,0001,-001,0001,0002,0001,0003,0002,0001
0001,0001,-001,0001,0002,0001,0001,0002,0001
