delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,-001,0001,0001,0002,0004,0000,0002,0001
0001,-001,0001,0001,-001,0004,0000,0003,0001
0001,0001,-001,0003,-001,0001,0002,0002,0001
0002,0001,0000,0003,0000,0001,0002,0002,0001
0001,0001,0000,0003,0000,0001,0002,0002,0002
0001,-001,0000,0002,0000,0000,0001,0002,0003
0000,-001,0000,0001,0002,0001,0001,0002,0003
0000,-001,0000,0001,0002,0001,0001,0002,0006
0000,0000,0002,0001,0002,0005,0001,0002,0007
-001,0000,0002,0001,0002,0006,0001,0002,0010
-001,0001,0003,0001,0003,0009,0001,0003,0010
0001,0002,0007,0001,0005,0013,0002,0006,0016
0001,0004,0007,0002,0008,0013,0002,0008,0016
0002,0006,0003,0002,0009,0011,0002,0008,0012
0006,0006,0002,0007,0020,0007,0008,0019,0009
0007,0006,0002,0009,0020,0003,0008,0019,0004
0007,0005,0003,0016,0008,0003,0009,0013,0004
0007,0002,0003,0016,0008,0005,0018,0009,0006
0007,0001,0001,0009,0005,0005,0018,0006,0006
0006,0001,0001,0004,0004,0001,0008,0004,0002
0001,0001,0001,0002,0002,0001,0005,0002,0001
-001,0000,-001,0002,0002,0001,0003,0002,0002
-001,0000,-001,0002,0002,0001,0003,0002,0001
0003,0000,0000,0002,0001,-002,0003,0002,0002
0003,0000,0000,0002,0001,0001,0003,0002,0000
0002,0000,0000,0002,0001,0002,0002,0002,0002
0000,0000,0000,0000,0000,0001,0001,0001,0000
-001,0000,0000,0002,0000,-004,0001,0000,0002
-001,0000,-003,0002,0000,-004,0002,0000,0000
-001,0001,-003,0002,0001,0000,-001,0000,0001
-001,0001,-003,0000,0001,0000,-001,0000,0000
-001,0002,0000,0000,0001,-001,-001,0000,0001
0000,0000,0000,0003,0000,-002,0001,0000,0001
0000,0000,0000,0003,0000,-002,0001,0000,0001
0001,0000,0001,0002,0000,-002,0000,0000,0001
0001,0000,0000,-001,-001,-004,-001,0000,0000
0001,0000,0000,-001,-001,-002,-001,0000,0001
0000,0000,0000,-001,-001,-002,-001,0000,-001
0000,0001,0000,0000,0001,0000,-001,0000,0001
0000,0001,0000,0000,0001,0000,-001,0000,0000
0002,0001,-001,0000,0000,0000,0000,0000,0001
-001,0000,-001,0000,0000,-002,0000,0000,0001
-001,0000,-001,0000,-001,0000,0000,0000,0001
-001,0000,0001,0000,-001,0000,0000,0000,0001
0000,0000,0001,0000,-001,0002,-002,0000,-001
0000,0002,0001,0000,-001,0002,-003,0000,-001
0000,0002,0001,0000,-001,0002,-003,0000,-001
-001,0002,0000,0001,-001,0000,-001,0001,0002
-001,0001,0000,0001,-001,0000,-001,0001,0002
-001,0001,0000,0001,-001,-001,-001,0001,0000
0000,0001,0000,0000,-001,-001,-001,0000,0000
0000,0001,0000,0000,-001,-001,-001,-001,0000
0000,0001,0000,0000,-001,0003,-001,-001,0002
-001,0000,0000,0001,-001,-001,-001,0001,0000
-001,0001,0000,0001,-001,-001,-001,0001,0002
