delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-002,0001,0000,0000,0001,0002,0003,0000,-002
0000,0001,0000,0000,0001,0002,0002,0001,-002
0000,0001,0001,0001,0000,-001,0002,0001,-002
0001,0000,0001,0001,0002,0002,0002,0002,0000
0000,0000,0003,0001,0002,0002,0004,0001,0000
0001,0001,0000,0002,0002,0002,0005,0001,0000
0001,0001,0002,0002,0002,0003,0005,0001,0000
0003,0001,0002,0003,0002,0003,0006,0002,-001
0004,0002,0002,0007,0003,0004,0009,0003,-001
0006,0002,0002,0007,0004,0004,0010,0003,-001
0007,0002,0004,0007,0007,0004,0012,0005,0000
0008,0005,0004,0015,0009,0005,0014,0008,0002
0011,0006,0003,0015,0009,0005,0014,0009,0002
0011,0010,0003,0014,0019,0005,0011,0012,0003
0007,0020,0003,0006,0025,0009,0010,0014,0005
0002,0026,0003,0005,0025,0009,0004,0014,0005
0002,0026,0003,0005,0025,0009,0004,0014,0005
0002,0024,0003,0005,0025,0009,0004,0014,0005
0002,0020,0003,0005,0021,0009,0004,0014,0005
0001,0014,0015,0002,0015,0018,0003,0008,0010
0001,0007,0019,0001,0007,0020,0002,0005,0010
0000,0001,0019,0001,0002,0020,0001,0001,0009
0001,0001,0006,0001,0002,0006,0001,0001,0001
0001,0001,0003,-001,0002,0004,0001,0001,0001
0001,0001,0001,0001,0001,0002,0001,0001,-001
0001,0001,0001,0000,0001,0002,0002,0001,-001
-001,0002,-001,0001,0001,0002,0002,0001,-001
-001,0001,-001,0001,0001,0003,0003,0001,-001
-001,0002,-001,0001,0000,0000,0001,0000,-001
-002,0001,0000,0001,0000,0002,0002,-001,-003
0001,0001,0000,0001,0000,0000,0002,-001,-003
0001,0001,0000,-001,0001,0000,0002,0001,-001
0001,0001,0000,0000,0000,-001,0002,0001,-001
0001,0002,-002,0000,0001,-001,0000,0001,-001
-001,0001,-001,0000,0002,-001,0000,-001,-001
-001,0001,-001,0000,0002,0001,0000,-001,-001
0000,0000,-001,-001,0002,0001,0000,0001,-002
0001,0000,0000,0000,0001,0001,0001,0001,-003
0001,0001,0000,-001,0000,0000,0000,0000,-003
0001,0001,0000,0000,0000,-001,-001,0000,-003
0000,0001,0001,0001,0001,-001,-001,0000,-001
0000,0001,0001,0001,0001,0000,0001,0000,-001
0000,0001,0001,0000,0000,0000,0002,0001,-002
0000,0002,0001,-001,0000,0000,0001,0000,-002
0000,0001,0002,-001,0000,0000,0003,-001,-002
0000,0001,0002,-001,0001,0000,0000,-001,0001
0000,0001,0002,-001,0002,0000,0001,0000,0002
0000,0001,0001,0000,0002,0001,0001,0000,0002
0000,0001,0001,0001,0000,0001,0001,0000,-001
0000,0001,0001,0000,0000,0001,0002,0000,-001
0000,0001,0001,0001,0000,0000,0002,0001,-002
0000,0000,0000,0000,0000,0001,0002,0001,-002
0000,0002,0001,0000,0000,0001,0002,-001,-002
0000,0001,0000,0000,0000,0001,0002,-001,-002
0000,0001,0001,0000,0000,0001,0002,-001,-001
