delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0002,-001,0000,0003,0001,0003,0002,0003
0000,0002,-001,0000,0003,0000,0003,0002,0003
0002,0001,-001,-001,0003,0001,0004,0001,0003
0002,0001,0000,-001,0002,0000,0004,0001,0003
0002,0001,0000,-001,0002,0001,0004,0001,0003
0002,0000,0000,0000,0001,0001,0002,0004,0005
0002,0001,0000,0000,0001,0002,0004,0004,0006
0002,0001,0000,0000,0001,0003,0004,0004,0006
0002,0001,0003,0001,0001,0003,0004,0005,0007
0002,0001,0003,0001,0001,0004,0005,0006,0007
0002,0001,0001,0001,0001,0004,0005,0006,0007
0003,0002,0000,0005,0004,0004,0014,0011,0008
0003,0002,0000,0005,0006,0003,0019,0012,0009
0003,0002,0000,0005,0006,0003,0029,0018,0016
0013,0022,0012,0011,0010,0015,0005,0005,0008
0013,0022,0012,0011,0010,0015,0005,0005,0008
0012,0022,0012,0011,0010,0015,0005,0005,0008
0010,0022,0012,0011,0010,0015,0005,0005,0008
0008,0022,0012,0011,0010,0015,0005,0005,0008
0007,0017,0010,0004,0006,0010,0005,0005,0005
0006,0011,0009,0003,0003,0007,0003,0001,0002
0006,0011,0009,0003,0003,0007,0003,0001,0002
0006,0010,0009,0003,0003,0007,0003,0001,0002
0006,0010,0009,0003,0003,0007,0003,0001,0002
0006,0010,0009,0003,0003,0007,0003,0001,0002
0006,0008,0009,0003,0003,0007,0003,0001,0002
0004,0008,0006,0003,0004,0007,0004,0001,0002
0003,0008,0005,0004,0005,0005,0004,0002,0004
0003,0006,0005,0004,0005,0005,0004,0001,0005
0003,0006,0005,0004,0005,0004,0002,0001,0005
0002,0006,0005,0004,0004,0004,0002,0001,0005
0002,0004,0002,0003,0003,0003,0004,0003,0002
0002,0004,0001,0003,0003,0003,0004,0003,0002
0003,0004,0001,0003,0003,0003,0003,0004,0002
0001,0002,0000,0002,0002,0003,0003,0003,0002
0001,0002,0000,0001,0002,0003,0001,0003,0003
0001,0002,-001,0001,0002,0002,0001,0003,0001
0000,0001,-001,0003,0002,0002,0002,0002,0001
0000,0001,-001,0003,0002,0002,0002,0002,0001
0000,0001,-001,0002,0003,0002,0005,0002,0001
-001,0001,-001,0002,0001,0003,0004,0002,0003
0000,0001,-001,0002,0001,0003,0004,0002,0001
0000,0001,-001,0003,0001,0002,0004,0003,0003
0001,0001,-001,0003,0003,0001,0005,0003,0002
0001,0001,-001,0004,0003,0001,0005,0003,0002
0001,0001,-001,0004,0002,0001,0006,0005,0002
0001,0002,-001,0003,0002,0002,0006,0004,0002
0001,0002,-004,0003,0002,0002,0002,0004,0002
0001,0002,-004,0002,0001,0001,0002,0004,0003
-001,0001,0001,0001,0001,0001,0002,0002,0001
-001,0001,0001,0001,0001,0001,0002,0002,0002
-001,0001,-002,0001,0001,0001,0002,0002,0002
0000,0002,-002,0002,0001,0001,0003,0003,0002
0000,0002,-002,0002,0001,0001,0003,0003,0000
0000,0002,0001,0002,0001,0001,0003,0004,0000
