delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,0001,0001,-001,-001,0001,0001,0002,0002
0001,0001,0001,0001,0000,0001,0001,0002,0002
0001,0000,0001,-001,0000,0000,0003,0003,0001
0001,0001,0001,0000,0001,0000,0003,0003,0002
0001,0001,0002,-001,0000,0000,0001,0002,0002
0001,0001,0002,0000,0001,0000,0001,0001,0002
0000,0001,0000,-001,0000,0000,0001,0002,0001
0000,0001,0000,0000,-001,0000,0002,0001,0001
0001,0002,0000,0000,-001,0000,0002,0003,0002
0002,0002,0002,0000,0000,0000,0005,0002,0003
0002,0002,0002,0003,0002,0003,0002,0004,0004
0002,0004,0003,0003,0005,0003,0003,0004,0004
0002,0009,0005,0003,0007,0005,0003,0007,0006
0004,0015,0004,0004,0014,0005,0003,0012,0007
0004,0022,0004,0004,0021,0007,0004,0014,0006
0004,0031,0004,0005,0027,0007,0004,0016,0008
0006,0040,0007,0005,0032,0006,0001,0017,0009
0006,0044,0007,0005,0032,0006,0001,0017,0009
0006,0048,0007,0005,0033,0006,0001,0017,0009
0006,0054,0007,0005,0035,0006,0001,0017,0009
0006,0054,0007,0005,0035,0006,0001,0017,0009
0006,0055,0007,0005,0037,0006,0001,0017,0009
0005,0057,0007,0005,0036,0007,0003,0021,0009
0005,0057,0005,0003,0036,0007,0003,0021,0009
0003,0047,0007,0003,0034,0007,0003,0021,0009
0005,0033,0006,0002,0028,0007,0005,0017,0009
0003,0029,0006,0002,0024,0007,0005,0015,0009
0003,0020,0005,0004,0020,0007,0004,0011,0006
0003,0015,0003,0004,0014,0004,0003,0011,0006
0005,0010,0003,0004,0011,0004,0002,0008,0008
0005,0009,0003,0004,0008,0004,0002,0008,0008
0005,0007,0003,0004,0006,0004,0002,0008,0008
0005,0006,0003,0004,0006,0004,0002,0008,0008
0005,0005,0003,0004,0006,0004,0002,0008,0008
0005,0005,0003,0004,0006,0004,0002,0008,0008
0001,0005,0002,0001,0004,0004,0002,0006,0003
0001,0004,0002,0001,0002,0001,0002,0005,0003
0002,0003,0002,0001,0001,0001,0002,0005,0003
0002,0002,0002,0000,0001,0001,0002,0003,0002
0001,0001,0002,-001,0001,0000,0004,0002,0001
0001,0002,0004,-001,0000,0000,0001,0001,0001
0002,0001,0004,0001,-001,-001,0000,0000,0001
0002,0002,0001,0001,-001,0000,0000,0001,0001
0001,0002,0001,0001,-001,-001,0001,0001,0001
0001,0002,0000,0000,0000,-001,0001,0001,0001
0001,0001,0001,0001,0000,-001,0001,0001,0001
0000,0000,0001,0001,0000,0000,0001,0000,0001
0000,-001,0001,0001,0000,0000,0000,0001,0002
0000,-001,0003,0000,0000,0000,-001,0000,0002
0000,-001,0000,0000,-001,0001,-001,0000,0002
0000,-001,0000,0000,-001,0001,-001,0000,0001
0000,0000,-001,0001,-001,0000,0002,0000,0001
0000,0001,-001,0001,0000,0000,0002,0001,0001
0001,0001,-001,0001,0000,-001,-001,0002,0001
0001,0000,0002,0000,-001,-001,-001,0002,0002
