delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,-002,0000,-001,0000,-001,0000,0000,0001
0004,-002,0001,-001,-001,0001,0000,0000,-001
0004,-001,0000,0000,0000,0000,-001,0000,-001
0002,-001,0001,-002,-001,0002,-001,0000,0000
0001,0000,0003,0000,-001,0002,-001,0000,0000
0000,-001,0003,-002,-001,0002,-001,0000,0000
0000,0000,0003,0000,-001,0004,0000,0000,0003
0001,-001,0002,-001,0000,0004,0000,0001,0006
0001,0000,0001,0000,-001,0004,0000,0001,0006
0000,0000,0001,0000,0000,0010,-001,0002,0010
-001,0001,0004,0000,0002,0010,-001,0003,0011
-001,0001,0007,-001,0002,0014,-001,0005,0011
0000,0004,0009,-001,0008,0014,0000,0009,0011
0002,0008,0009,-001,0019,0012,0000,0014,0006
0004,0018,0006,0003,0031,0009,0001,0023,0004
0006,0022,0005,0003,0034,0004,0002,0026,0004
0006,0022,0005,0003,0034,0004,0002,0026,0004
0006,0022,0005,0003,0034,0004,0002,0027,0004
0006,0022,0005,0003,0035,0004,0002,0028,0004
0006,0022,0005,0003,0036,0004,0002,0027,0004
0006,0022,0005,0003,0036,0004,0002,0027,0004
0006,0022,0005,0003,0036,0004,0002,0026,0004
0022,0015,0001,0029,0030,0004,0017,0019,0000
0034,0008,0001,0045,0017,0005,0029,0011,0000
0034,0008,0001,0045,0017,0005,0029,0009,0000
0036,0008,0001,0044,0011,0005,0034,0008,0000
0036,0008,0001,0043,0009,0005,0037,0008,0000
0036,0008,0001,0041,0009,0005,0037,0007,0000
0030,0008,0001,0038,0009,0005,0037,0006,0000
0029,0008,0001,0038,0010,0005,0036,0006,0000
0021,0003,0004,0033,0010,0007,0031,0004,0003
0018,0003,0004,0021,0008,0008,0022,0004,0003
0014,0003,0001,0014,0007,0009,0012,0005,0002
0010,0003,0001,0014,0007,0009,0012,0005,0002
0010,0003,0001,0012,0007,0009,0009,0005,0002
0010,0003,0001,0008,0007,0009,0008,0005,0002
0010,0003,0001,0006,0007,0009,0007,0005,0002
0008,0003,0001,0006,0007,0009,0007,0005,0002
0008,0003,0001,0005,0007,0009,0007,0005,0002
0006,0002,0001,0004,0004,0005,0005,0004,0001
0006,0001,0001,0002,0001,0004,0002,0003,0000
0006,-001,0001,0001,0000,0004,0002,0001,0000
0003,-001,0000,0000,0000,0001,0001,0001,-003
0002,0000,0000,0000,0000,0000,0001,0001,-003
0002,0000,0000,0000,0000,0000,0001,0000,-003
0002,-001,0000,0000,0001,0000,0000,0000,0000
0002,-002,-001,0000,0001,0001,-001,0001,0000
0002,-002,0000,0000,-001,0001,-001,0001,-001
0002,-002,0000,0000,-001,0001,-002,0001,-002
0003,-002,0000,0000,-001,0000,-002,0001,-002
0003,-001,0001,0000,0000,0000,-001,0000,-001
0003,-001,0001,0000,-001,0000,-001,0000,0000
0001,-001,0001,0000,-001,0003,-001,0000,-001
0001,-001,-001,-001,-001,0000,-001,0001,-001
0001,0000,-001,-002,-001,0000,0000,0001,-001
