delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0003,-001,0000,0002,0001,0001,0001,-002,-002
0001,-002,-001,0001,0001,0000,0002,-001,-002
0001,-001,-001,0001,0001,-001,0002,-001,-001
0001,0000,0000,0002,0000,-001,0002,-001,-001
0000,0002,0000,0002,0000,0000,0003,0000,0002
0000,0001,0000,0002,-001,0001,0004,0000,0002
0002,0001,-001,0002,0000,0001,0004,0001,0000
0002,0000,0001,0004,0001,0002,0004,0001,-001
0002,0000,0001,0005,0002,0003,0007,0001,-001
0005,0002,0001,0006,0002,0003,0007,0001,0001
0006,0002,0001,0007,0003,0003,0009,0001,0002
0006,0002,0001,0010,0004,0002,0013,0002,0002
0008,0002,0003,0012,0006,0004,0017,0003,0002
0010,0002,0003,0019,0006,0003,0017,0003,0003
0013,0004,0002,0023,0006,0003,0020,0004,0003
0017,0004,0002,0024,0009,0003,0020,0007,0003
0018,0005,0002,0024,0011,0002,0016,0007,0003
0017,0011,0002,0024,0019,0003,0013,0011,0003
0014,0015,0002,0019,0025,0004,0011,0015,0004
0011,0021,0004,0011,0031,0006,0003,0016,0004
0011,0021,0004,0011,0031,0006,0003,0016,0004
0011,0021,0004,0011,0030,0006,0003,0016,0004
0011,0021,0004,0011,0030,0006,0003,0016,0004
0011,0021,0004,0011,0030,0006,0003,0016,0004
0011,0021,0004,0011,0031,0006,0003,0016,0004
0003,0021,0007,0004,0030,0009,0003,0013,0008
0003,0016,0011,0003,0023,0014,0003,0011,0011
0002,0011,0017,0003,0013,0023,0002,0007,0015
-001,0005,0017,0003,0007,0025,0001,0003,0018
-001,0005,0017,0003,0004,0025,0001,0003,0018
-001,0005,0017,0003,0002,0024,0001,0003,0018
-001,0005,0017,0003,0003,0024,0001,0003,0018
-001,0005,0017,0003,0002,0024,0001,0003,0018
-001,0005,0017,0003,0002,0024,0001,0003,0018
-001,0003,0013,0001,0001,0023,0001,0000,0018
0000,0002,0005,0000,0001,0008,0002,0000,0010
0001,0002,0001,0000,0000,0002,0002,0000,0007
0001,0001,0001,0001,-001,0001,0000,0000,0002
0001,0000,0001,0002,-001,0001,0000,-001,0002
0001,-002,0001,0002,-001,0000,0001,-001,0001
0001,-001,0001,0002,0000,0001,0001,-001,0001
0001,-001,-001,0002,0000,0000,0001,-001,0000
0001,0000,-001,0001,0000,0000,-001,-002,0002
0001,0000,0000,0001,-001,0000,-002,-001,0001
0001,0000,0000,0001,-001,0000,-002,-001,0001
0000,0000,0000,0001,-001,0000,0001,0000,0001
0000,0000,0000,0000,-001,0001,0002,0000,0001
0000,0000,0000,0001,-001,-002,0001,-002,0001
0000,-001,0001,0001,0001,0001,0002,-002,0001
0000,0000,0001,0001,0001,0000,0001,-001,0001
0000,-001,0000,0001,0001,0000,0002,-001,-001
0000,0000,0000,0001,0001,0000,0001,-001,-001
-001,0000,0001,0001,0000,0001,-001,-001,0001
0000,0000,0001,0001,0000,0002,-001,0000,0001
0000,0000,-001,0002,0000,0002,0001,0000,0001
