delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,-001,0002,0000,0000,0001,0001,0001,0000
0000,0001,0002,0000,0000,0002,0001,0001,0000
0000,0000,0002,0000,0000,0002,0000,0001,0000
0001,0000,0003,0000,-001,0002,0000,0001,0000
0001,0000,0003,0000,0000,0002,0000,0000,0000
0002,0000,0003,0000,-001,0002,0000,0001,0000
0002,0000,0002,-001,0000,0002,0000,0000,0000
0002,0000,0002,-001,0000,0002,0000,0001,0000
0002,0001,0002,0000,0000,0001,0001,-001,0000
0001,0001,0002,0000,0000,0001,0002,0003,0002
0001,0002,0002,0001,0000,0003,0002,0005,0002
0004,0002,0002,0002,0001,0003,0002,0009,0003
0004,0003,0003,0002,0005,0005,0008,0012,0006
0004,0003,0004,0006,0010,0006,0008,0018,0006
0006,0009,0005,0012,0021,0006,0008,0018,0006
0006,0013,0005,0012,0024,0009,0007,0014,0005
0008,0016,0008,0011,0024,0009,0004,0009,0005
0010,0017,0007,0009,0018,0008,0004,0006,0003
0010,0017,0007,0005,0011,0005,0001,0002,0002
0007,0014,0005,0003,0005,0004,0000,0002,0001
0004,0011,0005,0000,0003,0003,0001,0002,0000
0003,0008,0005,0000,0001,0003,0001,0001,0000
0001,0005,0002,0000,0001,0000,0001,0002,0000
0000,0004,0002,0000,0000,0000,-001,0001,0001
0000,0003,0002,0002,0000,0000,-001,0003,0001
0000,0002,0003,0002,0000,0002,-001,0001,0000
0001,0002,0002,0001,0001,0000,-001,0001,-001
0001,0002,0002,0000,0000,0000,-001,0001,-001
0001,0002,0002,0001,0001,0000,0001,0001,-001
0001,0002,0002,0000,-001,-001,0001,0001,-001
0001,0001,0002,0000,-001,-001,0001,0001,0000
0000,0001,0002,0000,-001,0000,0001,0002,-001
0000,0001,0001,0000,-001,0001,0000,0002,0000
-001,0000,-001,0000,-001,0001,0000,0002,-001
0001,0000,-001,-001,-002,0000,-001,0000,-001
0002,0000,0003,-001,-002,0000,-001,0000,-001
0002,0000,0003,-001,-001,0000,-001,0000,-001
0001,0000,0003,0000,-001,0000,0000,0000,0000
0001,0000,0003,0000,-001,0001,0000,0000,0000
0001,0000,0003,0000,-001,0002,0000,0000,0000
0001,0000,0003,0000,-001,0002,0001,0001,0001
0001,0003,0003,-001,0000,-001,0001,0001,0000
0001,0003,0002,0001,-001,-001,0000,0001,0000
0001,0000,0002,0000,-001,0001,0000,0000,0000
0002,0000,0002,0000,-001,0001,0001,0000,-001
0002,0000,0000,0000,-002,-001,0001,0000,0000
0003,0001,0000,0000,-003,-001,0000,0000,0001
0000,0002,0000,-001,-003,0001,0000,0000,0001
0001,0002,0001,0000,-001,0001,0000,0000,-002
0001,0002,0001,0000,-001,0001,0000,0000,-002
0002,0000,0004,0000,-001,0002,0000,0001,-001
0002,0000,0004,-001,-001,0002,0000,0001,-001
0002,0000,0004,0000,0000,0000,0000,0001,-001
0002,0000,0003,0000,-001,0000,0000,0001,-001
0000,0001,0003,0000,-002,0000,0000,0001,-001
