delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0001,0000,0000,-001,0001,0001,0002,0002
0001,0000,0000,0000,0000,0001,0001,0000,0001
0001,0000,0000,0000,0000,0001,-001,-002,0001
0000,0000,0000,0000,0000,0002,-001,-002,0001
-001,0001,0000,0000,0000,0003,0000,0004,0003
-001,0001,0000,0000,0000,0002,0002,0004,0003
-001,0001,0000,0000,0000,0003,0002,0002,0001
0001,0002,0002,0000,0001,-002,0002,0002,0001
0001,0003,0002,0001,0002,-002,0002,0002,0003
0001,0003,0002,0003,0002,-002,0003,0005,0004
0003,0003,0002,0003,0002,0004,0004,0005,0005
0003,0004,0003,0002,0002,0006,0004,0004,0007
0001,0004,0005,0002,0003,0007,0004,0004,0007
0001,0014,0014,0000,0010,0017,0002,0006,0013
0001,0016,0016,0000,0010,0020,0004,0006,0013
0001,0016,0016,0000,0010,0020,0004,0007,0014
0002,0012,0014,0000,0009,0018,0004,0003,0010
0002,0008,0007,0000,0006,0011,0001,0003,0007
0002,0006,0005,0000,0005,0010,0001,0003,0006
-002,0005,0005,0001,0003,0007,0002,0004,0005
0000,0004,0005,0001,0003,0007,0002,0004,0005
0000,0004,0005,0001,0002,0007,0002,0004,0005
0001,0003,0005,0000,0001,0006,0004,0003,0003
0001,0002,0001,0000,0000,0005,0004,0003,0005
0000,0002,0001,0000,0001,0005,0004,0003,0004
0000,0002,0002,0001,0000,0002,0004,0003,0004
0000,0002,0002,0001,-001,0002,0004,0003,0002
0001,0001,0002,0002,-001,0002,0004,0004,0002
0002,0001,0002,0002,-001,0001,0002,0001,0002
0002,0001,0002,0002,-001,0001,0002,0001,0002
0002,0003,0001,0002,-001,0001,0002,0001,0002
0002,0000,0001,0000,0001,0001,0002,0002,0002
0002,0001,0001,0000,0001,0001,0004,0002,0001
0002,0001,-002,0000,0001,0001,0004,0002,0001
0001,0001,-002,0000,0001,0002,0004,0002,0002
0001,0000,0000,0000,0001,0003,0003,0002,0002
0001,0000,0001,0000,0001,0002,0002,0002,0002
-001,0001,0001,0000,0001,0002,0002,0002,0002
0001,0001,0000,0000,0001,0001,0002,0002,0002
0001,0001,0000,0000,0000,0001,0002,0002,0002
0001,0001,0000,-002,-002,0001,0003,0002,0001
0001,0001,0000,-001,-001,0001,0003,0002,0001
-001,0001,0000,-001,-001,0001,0003,0002,0002
-001,0001,0003,0001,-001,0001,0003,0003,0003
-001,0001,0003,0001,-001,0000,0002,0003,0003
0001,0000,-001,0001,-001,0001,0002,0003,0002
0000,-001,-001,0000,0000,0000,0002,0003,0002
0000,-001,-001,0000,0000,0000,0002,0001,0002
0000,-001,0000,0000,0000,0000,0002,0001,0003
-001,0001,0000,0000,0000,0002,0003,0002,0000
0000,0001,0000,0000,0000,0002,0003,0002,0001
0000,0001,0000,0001,0000,0002,0001,0002,0001
0000,0000,0000,-002,0000,-001,0001,0002,0002
0001,-001,0000,-001,0000,0000,0001,0002,0002
0001,-001,0000,-001,0000,-001,0002,0002,0002
