delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,-002,0000,0001,0001,0000,0000,0001,-001
0000,-001,0001,0001,0001,0000,0000,0001,-001
0001,-001,0002,0001,0001,0002,0000,0001,-001
0001,-001,0003,0001,0000,0002,0001,0002,-002
0001,-002,0003,0001,0000,0002,0001,0002,-002
0001,-002,0002,0001,0000,0002,0002,0002,-002
0000,0001,0001,0000,0001,0002,0000,0002,0001
0000,0001,0002,0000,0001,0002,0000,0002,0001
0000,0001,0002,0000,0001,0006,0000,0002,0001
0002,0000,0004,-002,0000,0009,0000,0002,0005
0002,0000,0009,-001,0000,0011,0000,0002,0006
0002,0000,0013,-001,0000,0012,0000,0002,0007
0002,0007,0013,0000,0007,0012,0000,0006,0007
0003,0010,0013,0000,0012,0011,0000,0008,0007
0004,0020,0007,0000,0018,0009,0000,0010,0004
0008,0020,0003,0007,0018,0008,0007,0013,0004
0009,0009,0000,0014,0017,0006,0009,0013,0004
0009,0004,0000,0014,0007,0006,0012,0010,-001
0008,0002,0001,0014,0006,0006,0012,0006,0000
0005,0002,0001,0007,0004,0004,0009,0006,0000
0002,0001,0001,0002,0004,0004,0005,0003,-002
0002,0000,-001,0001,0002,0003,0003,0002,-002
0002,0000,0000,0001,0002,-001,0003,0002,-004
0003,0000,-001,0001,0002,-001,0003,0002,0002
0002,-001,-001,0001,0002,0001,0000,0002,0003
0002,-001,-001,0001,0002,0005,0000,0002,0003
0002,-001,-001,0001,0002,0005,0000,0002,0003
0002,0000,0000,0001,0000,0004,-001,0000,0002
0002,0000,0000,0001,0000,0001,0000,0000,0002
0003,0000,0000,0001,0000,0001,0000,0000,-001
0001,-001,-001,0000,0000,0001,0001,0000,-001
0000,0000,-001,0000,0000,0001,0001,0000,0001
0000,0000,-001,0000,0000,0000,0001,0000,0002
0000,0000,-003,0001,0002,0002,-001,0002,0002
0000,0000,0000,0001,0002,0000,-001,0002,0002
0000,0001,0000,0001,0001,0000,-001,0002,0002
0000,0001,0000,0001,0001,0000,0000,0002,0000
0000,0001,-001,0001,0001,0000,0000,0002,0000
0000,0000,-001,0000,0002,0001,0000,0002,0000
0000,0000,-002,-001,0002,0002,0000,0000,0000
0000,0000,-002,-001,0002,0002,0000,0000,0000
0001,0000,-002,-001,0002,0001,0000,0000,0000
0003,0000,-002,-003,0002,-001,0000,0000,0000
0003,0000,-002,-001,0002,0001,0000,0000,0000
0003,0000,-002,-001,0001,-001,0000,0000,0001
0002,0000,0000,0000,0000,0002,0002,-001,0001
0002,0000,0000,0000,0000,0002,0002,-001,0001
0002,0001,0000,0000,0000,0002,0002,-001,0001
0000,0000,0001,0000,0001,0001,0000,0003,0002
0000,0000,0001,0000,0001,0001,-002,0003,0002
0000,0000,0001,0000,0001,0001,-002,0003,0002
0001,0001,0000,0000,0001,0001,-002,0001,0000
0001,0001,-002,0000,0001,0001,-002,0001,0000
0001,0001,-002,0002,0001,0001,-002,0001,0000
0001,-001,0000,0000,0002,0002,-001,0001,0003
