delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0000,0001,0002,0001,0000,0000,0002,-001
0000,0000,0002,0002,0001,0000,0000,0002,0001
0000,0000,0002,0002,0001,0000,0001,0002,0001
0001,0000,-001,0002,0001,-003,0001,0001,0001
-001,0001,-001,0001,0001,-003,0001,0001,0000
0001,0001,0001,0002,0001,-003,0001,0001,0000
0001,0001,0001,0002,0001,-002,0004,0000,0001
0001,0002,0001,0002,0002,0001,0004,0003,0001
0001,0002,0001,0002,0003,0002,0009,0003,0001
0003,0002,0000,0006,0003,0002,0014,0004,-001
0004,0003,0001,0009,0005,0002,0014,0007,-001
0004,0005,0001,0009,0011,0002,0012,0015,-001
0003,0007,0005,0003,0012,0001,0006,0015,0004
0000,0007,0006,0002,0012,0002,0002,0010,0017
0000,0003,0013,0002,0005,0020,0002,0006,0019
-001,0002,0013,0002,0003,0020,0002,0003,0019
-002,0001,0006,0002,0001,0011,0002,0001,0013
-002,0001,0004,0000,0000,0007,0000,0000,0006
-001,0001,0003,0000,0001,0005,0002,0000,0005
-001,-002,0001,0000,0000,0003,0000,0000,0002
-001,-002,0001,0002,0001,0003,0002,0000,0002
0000,0000,0001,0002,0001,0004,0000,0001,0001
0000,0002,0001,0002,0001,0004,0001,0001,0001
0001,0001,0001,0001,0000,0001,0001,0001,0001
0001,0001,0002,0001,0000,0000,0002,0001,0001
0001,0001,0001,0001,0000,0001,0002,0002,0001
0001,0001,0001,0002,0001,0000,0003,0002,0001
0000,0001,0001,0002,0001,0001,0001,0000,0001
0000,0001,0001,0001,0000,0000,0002,0000,0001
-001,0001,0003,0001,0000,0002,0002,0002,0002
-001,0002,0000,0000,0001,0002,0002,0002,0001
-001,0002,0000,0001,0002,0002,0000,0002,0001
0000,0002,0000,0001,0001,0001,0000,0002,0001
-002,0001,0001,0002,0001,0001,0000,0001,0002
0000,0001,0001,0002,0001,0001,0000,0001,0002
0000,0003,0001,0002,0002,0001,0000,0001,-001
0001,0003,0001,0001,0002,0001,0001,0001,-001
0001,0003,0001,0002,0001,0001,0001,0001,0000
0002,0003,0000,0001,0001,-001,0002,0001,0002
0002,0003,0000,0002,0001,-001,0000,0000,0002
0000,0001,0001,0002,0000,-002,0000,0000,0002
0000,0001,0001,0002,0000,-002,0000,0001,0002
0000,0001,0001,0002,0000,0000,0002,0001,0002
0000,0002,0001,0001,0000,0000,0002,0001,0001
0001,0002,0001,0001,0000,0000,0001,0001,-001
0001,0002,0000,0001,0000,-002,0000,0001,-001
-001,0001,0000,0000,0000,-002,0000,0001,-001
-001,0001,0000,0000,0000,-002,0000,0001,-001
-002,0001,0002,0000,-001,-002,-001,0001,-001
0000,0001,0002,0003,-001,-001,-001,0001,-001
0000,0001,0001,0000,0000,-001,-001,0001,-002
0000,0001,0001,0000,0000,-001,0000,0001,-002
0000,0001,0000,0000,0000,-001,0000,0001,0001
0000,-001,0002,0000,-001,0000,0000,0001,0001
0000,0001,-001,0002,-001,0001,0000,0002,0001
