delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-001,-001,0001,0000,-001,0000,0002,0001,0001
-001,-001,0001,0000,-001,0000,0002,0001,0001
0001,0000,0001,0001,-001,-001,0001,0001,0001
0001,0000,0001,0001,-001,0000,0001,0001,0002
0000,0000,0001,0002,-001,0000,0001,0001,0003
-001,0001,0002,0002,-001,0002,0001,0002,0003
-001,0001,0002,0002,-001,0002,0001,0002,0002
-001,0001,0001,0002,-001,0000,0000,0002,0002
0000,0001,0001,0001,0001,0000,0000,0002,0001
0000,0001,-001,0001,0001,0000,0000,0002,0003
0000,0002,0000,0001,0002,0002,0000,0002,0003
0001,0001,0000,0001,0003,0000,0000,0004,0005
0001,0001,0000,0002,0003,0001,0002,0008,0006
0001,0001,0001,0002,0003,0001,0002,0010,0007
0002,0007,0002,0004,0013,0006,0010,0023,0013
0003,0008,0004,0011,0022,0011,0010,0035,0013
0005,0016,0005,0017,0033,0013,0008,0035,0008
0005,0016,0005,0017,0033,0013,0008,0032,0008
0005,0016,0005,0017,0045,0013,0008,0023,0008
0005,0016,0005,0017,0048,0013,0008,0017,0008
0005,0016,0005,0017,0056,0013,0008,0017,0008
0005,0016,0005,0017,0057,0013,0008,0017,0008
0005,0016,0005,0017,0057,0013,0008,0017,0008
0005,0039,0013,0006,0042,0013,0002,0006,0005
0003,0044,0013,0003,0015,0006,0002,0003,0004
0003,0044,0013,0003,0015,0006,0002,0003,0004
0003,0036,0013,0003,0005,0006,0002,0003,0004
0003,0032,0013,0003,0003,0006,0002,0003,0004
0003,0019,0013,0003,0003,0006,0002,0003,0004
0003,0015,0013,0003,0003,0006,0002,0003,0004
0003,0015,0013,0003,0000,0006,0002,0003,0004
0003,0007,0009,0001,0000,0002,0002,0003,0003
0002,0005,0005,0001,0001,0002,0000,0002,0001
-001,0002,0004,0001,0001,0001,-001,0002,0001
-001,0001,0002,0002,0001,0001,-001,0002,0001
0000,-001,0002,0003,0000,0001,0001,0000,0002
0000,-001,0002,0003,0000,0001,0001,0000,0002
0001,-001,0002,0002,0000,0001,0001,0000,0002
0000,-001,-001,0001,0000,0000,0000,0000,-001
0000,0001,-001,0000,-001,0000,-001,0000,0001
0000,0001,-001,0000,-001,0000,-001,0000,0001
0000,0001,-001,0001,-001,0001,0001,0001,0001
0000,0000,0000,0001,-001,0001,0001,0001,0000
0000,0000,0000,0001,0000,0001,0000,0001,0000
-001,0000,0000,0001,-001,-001,-001,0001,0000
0001,0000,0000,0001,-001,0001,0000,0001,0000
0000,0000,0000,0001,-001,0001,0001,0000,0000
0000,0000,0001,0001,-002,0001,0001,-002,0000
0000,0000,0001,0001,-001,0001,0000,-002,0000
0000,0000,0001,0001,-001,0001,0000,-002,0000
0000,0002,0000,0002,0000,0001,-001,0001,0001
0000,0002,0000,0002,0000,0000,-001,0001,0001
0000,0001,0000,0002,0000,0000,-001,0001,0001
0002,0001,0002,0002,0000,0003,0002,0003,0001
0002,0001,0002,0002,0000,0003,0002,0003,0001
