delta1,delta2,delta3,delta4
00002,00070,00011,00011
00002,00094,00011,00011
00002,00106,00011,00011
00001,00105,00023,00016
00001,00105,00025,00016
00001,00105,00021,00016
00001,00105,00023,00016
00001,00105,00022,00016
00001,00105,00022,00016
00003,00040,00015,00010
00003,00040,00010,00010
00003,00040,00008,00010
00003,00040,00005,00010
00003,00040,00004,00010
00003,00040,00005,00010
-0001,00003,00006,00006
-0001,00004,00006,00006
-0001,00006,00006,00006
-0001,00005,00006,00006
-0001,00006,00006,00006
-0001,00001,00006,00006
00002,00004,00002,00002
00001,00001,00003,00002
00004,00003,00001,00001
00000,-0002,00001,00003
00000,00002,00004,00002
00000,00000,-0002,00002
00000,00006,00001,00002
00001,-0002,-0001,00002
00003,00004,00004,00000
00003,00003,-0001,00000
00007,00003,00004,00001
00004,00005,00002,00000
00000,00005,00008,00000
00000,00008,00005,00001
00003,00011,00006,00003
00000,00007,00007,00006
00000,00007,00005,00006
00000,00005,-0003,00003
00002,00006,-0001,00003
