delta1,delta2,delta3,delta4
00002,00033,00019,00015
00000,00034,00113,00046
00000,00034,00130,00046
00000,00034,00126,00047
00000,00034,00102,00040
00000,00034,00079,00037
00000,00034,00057,00031
00001,00026,00036,00023
-0001,00021,00027,00019
-0001,00015,00017,00015
-0001,00014,00017,00009
-0001,00007,00017,00002
-0001,00007,00017,00006
-0001,00001,00017,-0001
-0001,00009,00017,00005
00000,00000,00000,-0001
00000,00000,-0003,-0001
00001,00000,-0004,-0001
00000,-0001,-0002,00000
00000,-0002,00000,-0001
00000,-0002,00000,-0001
00002,-0002,-0002,-0001
00001,00007,00002,00003
00000,-0002,-0001,00000
-0001,00001,00003,00002
00001,-0002,00000,00002
-0002,00003,00002,00001
00000,00003,00001,00000
00000,00007,-0001,00001
00001,00006,00002,00001
00001,00008,00000,00001
00004,00007,00003,00001
00003,00001,00004,00001
-0001,00003,00002,00001
-0002,00001,00004,00004
00000,00005,00004,00003
00002,00003,00000,00002
00001,00009,-0001,00001
00000,00003,-0002,-0002
00000,00005,00001,00002
