delta1,delta2,delta3,delta4
00004,00034,00014,00028
00005,00033,00019,00029
00007,00039,00023,00032
00007,00039,00016,00032
00006,00034,00015,00029
00003,00024,00010,00026
00003,00026,00013,00019
00003,00021,00004,00015
00003,00021,00004,00014
00003,00021,00004,00009
00003,00021,00004,00007
00003,00021,00004,00002
00003,00021,00004,00004
00000,00006,-0001,00000
00000,00004,-0001,00000
00000,00006,-0001,00000
00000,00000,-0001,00000
00000,00004,-0001,00000
00000,-0001,-0001,00000
00002,00008,00002,00005
00001,-0002,-0003,00001
-0002,00005,00005,00003
00001,-0001,00000,-0001
00001,00005,00007,00003
00002,-0004,-0003,00000
00002,00004,00002,00001
00001,-0003,-0001,-0001
-0001,-0003,00004,00003
-0001,-0004,-0002,00001
00002,-0001,-0003,00002
-0001,-0004,00000,00001
00000,-0003,-0001,00003
00002,-0001,-0003,00001
00005,-0002,-0003,-0001
00002,-0004,00000,00001
00000,-0002,00000,-0001
-0001,-0005,-0001,00000
-0001,00000,00001,00000
-0001,-0004,-0003,00000
-0001,00004,00000,00000
