delta1,delta2,delta3,delta4
00002,00017,00011,00059
00002,00017,00011,00078
00003,00020,00022,00093
00003,00026,00025,00093
00003,00020,00021,00093
00003,00020,00028,00093
00003,00024,00026,00093
00003,00025,00025,00093
00003,00021,00025,00093
00003,00016,00025,00093
00003,00012,00010,00012
00003,00012,00003,00007
00003,00012,00006,00000
00003,00012,00000,00003
00003,00012,00001,-0002
00003,00012,00001,00001
00000,00002,00004,00001
00001,00001,00005,00001
00000,00005,00006,00002
00000,00001,-0001,00001
00002,00005,00004,-0002
00003,-0002,00001,-0002
00001,00001,00003,00001
00000,00002,00004,00000
00001,00005,00004,00002
00000,00004,00007,00002
00001,00006,00008,00002
00000,00007,00009,00002
00001,00008,00009,00000
00001,00004,00004,00005
00002,00006,00001,00004
00003,-0001,00006,00002
00004,-0001,00002,00003
00001,00006,00009,00003
00003,00005,00005,-0001
00000,00006,00009,00003
00000,00006,00007,00000
00001,00004,00009,00001
00000,00002,00004,00001
00002,00005,00003,00001
