delta1,delta2,delta3,delta4
0070,0105,0177,0154,
0083,0127,0217,0191,
0094,0143,0263,0223,
0099,0155,0311,0246,
0099,0155,0311,0246,
0099,0155,0311,0246,
0099,0155,0311,0246,
0099,0155,0299,0238,
0089,0140,0251,0208,
0083,0122,0206,0175,
0078,0122,0201,0175,
0078,0116,0201,0173,
0078,0116,0204,0175,
0086,0132,0230,0201,
0088,0134,0252,0211,
0088,0134,0254,0211,
0088,0137,0254,0208,
0084,0137,0238,0197,
0084,0134,0234,0197,
0086,0134,0234,0200,
0086,0136,0248,0205,
0086,0138,0256,0214,
0086,0138,0256,0214,
0086,0135,0250,0207,
0085,0122,0217,0184,
0082,0120,0207,0181,
0075,0112,0190,0164,
0075,0112,0190,0164,
0086,0129,0220,0191,
0087,0137,0253,0214,
