time,delta0,delta1,delta2,delta3,delta4
587,-002,0001,0004,0004,0004,
588,-002,0001,0004,0013,0004,
589,0004,0001,0004,0013,0004,
590,0004,0002,0007,0013,0009,
591,0004,0002,0008,0018,0014,
592,0008,0004,0009,0019,0014,
593,0013,0013,0009,0021,0026,
594,0013,0013,0019,0032,0029,
595,0015,0013,0019,0032,0029,
596,0018,0013,0019,0033,0033,
597,0018,0014,0022,0037,0036,
598,0020,0014,0022,0037,0036,
599,0020,0014,0025,0041,0038,
600,0020,0017,0025,0042,0038,
601,0020,0017,0028,0042,0038,
602,0020,0019,0031,0044,0046,
603,0020,0019,0032,0052,0046,
604,0020,0019,0036,0052,0046,
605,0026,0025,0043,0053,0047,
606,0026,0026,0047,0061,0053,
607,0026,0026,0060,0061,0053,
608,0024,0026,0061,0061,0057,
609,0024,0029,0069,0073,0057,
610,0024,0029,0076,0073,0057,
611,0023,0022,0082,0073,0053,
612,0023,0022,0086,0076,0053,
613,0023,0022,0090,0076,0053,
614,0022,0018,0095,0079,0054,
615,0022,0018,0095,0096,0054,
616,0018,0018,0095,0104,0054,
617,0016,0014,0092,0115,0058,
618,0016,0014,0092,0139,0058,
619,0016,0014,0090,0152,0058,
620,0016,0014,0088,0156,0054,
621,0017,0016,0085,0185,0054,
622,0017,0016,0072,0226,0060,
623,0015,0016,0051,0249,0064,
624,0015,0016,0046,0282,0087,
625,0020,0016,0038,0304,0131,
626,0022,0016,0036,0304,0257,
627,0022,0017,0035,0279,0406,
628,0025,0017,0035,0110,0406,
629,0026,0017,0035,0070,0243,
630,0027,0018,0035,0069,0093,
631,0027,0018,0035,0054,0074,
632,0027,0018,0024,0050,0054,
633,0027,0018,0021,0040,0053,
634,0021,0011,0019,0036,0040,
635,0011,0002,0007,0026,0015,
636,0011,0002,0007,0016,0014,
637,0008,0002,0008,0016,0014,
638,0006,0000,0008,0015,0005,
639,0006,0000,0007,0010,0005,
640,0002,0000,0006,0010,0005,
641,-001,0001,0005,0010,0006,
642,-001,0001,0004,0011,0007,
643,-002,0001,0004,0011,0007,
644,0001,0000,0001,0011,0007,
645,0001,0000,0001,0005,0004,
646,0001,0000,0001,0005,0004,
647,-002,0000,0005,0005,0004,
648,-002,0000,0004,0006,0002,
649,-002,0000,0004,0006,0002,
650,0000,0001,0004,0006,0002,
