delta1,delta2,delta3,delta4
0017,0022,0040,0038,
0020,0026,0042,0043,
0024,0039,0053,0052,
0024,0039,0053,0052,
0024,0039,0056,0054,
0028,0034,0053,0047,
0028,0034,0053,0047,
0026,0033,0044,0047,
0025,0029,0040,0042,
0025,0029,0040,0042,
0022,0029,0040,0038,
0018,0024,0033,0034,
0018,0020,0033,0030,
0015,0019,0019,0027,
0015,0018,0015,0025,
0015,0015,0015,0022,
0012,0009,0012,0013,
0005,0007,0007,0009,
0005,0004,0007,0009,
0005,0004,0007,0009,
0008,0002,0006,0008,
0008,0002,0006,0008,
0003,0002,0001,0008,
0003,0000,0001,0007,
0003,0000,0001,0007,
0003,0000,0001,0006,
0000,0000,0000,0002,
0000,0000,0000,0002,
0000,0000,0000,0002,
0001,-001,0005,0002,
