delta1,delta2,delta3,delta4
0003,-002,0001,-001,
0003,-002,0001,-001,
0003,-002,0000,-001,
0000,-001,0000,-002,
0000,-001,0000,-002,
0000,-001,0000,-002,
0007,0004,0005,0005,
0007,0004,0005,0005,
0007,0004,0005,0005,
0000,-001,0003,0001,
0000,-001,0003,0001,
0000,0000,0003,0001,
0002,-001,0002,-002,
0002,-001,0002,-002,
0002,-001,0001,-002,
0006,0004,0005,0003,
0006,0004,0005,0003,
0006,0004,0005,0003,
0004,0004,0007,0004,
0004,0004,0007,0004,
0004,0004,0007,0004,
0002,-001,0002,0001,
0002,-001,0002,0001,
0002,-001,0002,0001,
0004,0000,0004,0000,
0004,0000,0004,0000,
0004,0000,0004,0000,
0003,0001,0000,0001,
0003,0001,0000,0001,
0003,0001,0000,0001,
