delta1,delta2,delta3,delta4
0011,0021,0028,0033,
0011,0021,0028,0033,
0018,0032,0043,0045,
0018,0032,0043,0045,
0018,0032,0043,0045,
0030,0039,0065,0056,
0030,0039,0065,0056,
0030,0039,0065,0056,
0019,0044,0068,0063,
0019,0044,0068,0063,
0019,0037,0068,0063,
0014,0028,0059,0061,
0014,0024,0052,0061,
0014,0014,0026,0039,
0003,0008,0023,0029,
0003,0003,0010,0013,
0003,0003,0010,0013,
0000,-001,0007,0006,
0000,-001,0007,0006,
0000,-001,0004,0006,
0003,-003,0004,0002,
0003,-003,0004,0002,
0003,-003,0004,0002,
-002,-006,0001,0000,
-002,-006,0001,0000,
-002,-006,0001,0000,
-004,0002,-005,-005,
-004,0002,-005,-005,
-004,0003,-005,-005,
-003,-001,0000,0003,
